Year,Month,DayOfWeek,Hour,Rocket_ID,Rocket,Payload,Operator,FlightNumberInfo,Orbit,Function,crewed,Success
1997.0,6.0,2.0,14.0,219,Proton-K/DM2,"Iridium 14, Iridium 12, Iridium 9, Iridium 10, Iridium 13, Iridium 16, Iridium 11",Iridium,,LEO,Communications,0,0
1997.0,6.0,2.0,23.0,12,Ariane 4 (44P),Intelsat 802,Intelsat,,GEO,Communications,0,1
1997.0,7.0,1.0,18.0,276,Space Shuttle Columbia,"STS-94, Spacelab Long Module 1, EDO Pallet, Crewed orbital flight with seven astronauts, reflight of STS-83","NASA, Crewed orbital flight with seven astronauts, reflight of STS-83 Final flight of Spacelab Long Module 1",Final flight,"LEO, LEO (Columbia), Crewed orbital flight with seven astronauts, reflight of STS-83 Final flight of Spacelab Long Module 1","Microgravity research, Spacelab MSL-1, Cryogenic mission extension pallet, Crewed orbital flight with seven astronauts, reflight of STS-83 Final flight of Spacelab Long Module 1",1,1
1997.0,7.0,5.0,4.0,270,Soyuz-U,Progress M-35,Roskosmos,,LEO (Mir),Logistics,0,1
1997.0,7.0,2.0,13.0,78,Delta II 7920-10C,"Iridium 15, Iridium 17, Iridium 20, Iridium 18, Iridium 21",Iridium,,LEO,Communications,0,0
1997.0,7.0,2.0,3.0,88,Delta II 7925-9.5,USA-132 (GPS IIR-2),US Air Force,,MEO,Navigation,0,1
1997.0,7.0,0.0,1.0,38,Atlas IIAS,Superbird C,SCC,,GEO,Communications,0,1
1997.0,8.0,4.0,20.0,195,Pegasus-XL,Orbview-2,GeoEye,,LEO,Earth imaging,0,1
1997.0,8.0,1.0,15.0,270,Soyuz-U,"Soyuz TM-26, Crewed orbital flight with two cosmonauts","Roskosmos, Crewed orbital flight with two cosmonauts",,"LEO (Mir), Crewed orbital flight with two cosmonauts","Mir EO-24, Crewed orbital flight with two cosmonauts",1,1
1997.0,8.0,3.0,14.0,277,Space Shuttle Discovery,"STS-85, CRISTA-SPAS-2, MFD, Crewed orbital flight with six astronauts CRISTA-SPAS deployed 7 August and retrieved 16 August","NASA, DLR/NASA, NASDA, Crewed orbital flight with six astronauts CRISTA-SPAS deployed 7 August and retrieved 16 August",,"LEO, LEO (Discovery), Crewed orbital flight with six astronauts CRISTA-SPAS deployed 7 August and retrieved 16 August","Space sciences, Atmospheric research, Dextrous RMS demonstration, Crewed orbital flight with six astronauts CRISTA-SPAS deployed 7 August and retrieved 16 August",1,1
1997.0,8.0,4.0,6.0,11,Ariane 4 (44LP),"PAS 6, Spacecraft failure occurred in April 2004","PanAmSat, Spacecraft failure occurred in April 2004",,"GEO, Spacecraft failure occurred in April 2004","Communications, Spacecraft failure occurred in April 2004",0,0
1997.0,8.0,3.0,20.0,215,Proton-K/DM-2,"Kosmos 2345 (Prognoz), Retired on 1 January 1999","MO RF, Retired on 1 January 1999",,"GEO, Retired on 1 January 1999","Early warning, Retired on 1 January 1999",0,1
1997.0,8.0,1.0,17.0,150,Long March 3B,Agila 2,MPSC,,GEO,Communications,0,1
1997.0,8.0,3.0,0.0,78,Delta II 7920-10C,"Iridium 26, Iridium 25, Iridium 24, Iridium 23, Iridium 22",Iridium,,LEO,Communications,0,0
1997.0,8.0,5.0,6.0,136,LMLV-1 (Athena I),"Lewis, Control lost within three days of launch due to RCS design flaw.","NASA, Control lost within three days of launch due to RCS design flaw.",,"LEO, Control lost within three days of launch due to RCS design flaw.","Earth observation, Control lost within three days of launch due to RCS design flaw.",0,0
1997.0,8.0,0.0,14.0,80,Delta II 7920-8,ACE,NASA,,Earth/Sun L1 point,Magnetospheric research,0,1
1997.0,8.0,3.0,0.0,216,Proton-K/DM-2M,PAS 5,PanAmSat,,GEO,Communications,0,1
1997.0,8.0,4.0,15.0,195,Pegasus-XL,FORTE,US Air Force,,LEO,Ionosphere research,0,1
1997.0,9.0,0.0,14.0,140,Long March 2C,"Iridium MFS-1, Iridium MFS-2",Iridium,,LEO,Boilerplate spacecraft,0,1
1997.0,9.0,1.0,22.0,11,Ariane 4 (44LP),"Hot Bird 3, Meteosat 7","Eutelsat, Eumetsat",,GEO,"Communications, Meteorology",0,1
1997.0,9.0,3.0,12.0,38,Atlas IIAS,GE 3,GE Americom,,GEO,Communications,0,1
1997.0,9.0,6.0,1.0,208,Proton-K/17S40,"Iridium 29, Iridium 32, Iridium 33, Iridium 27, Iridium 28, Iridium 30, Iridium 31, Iridium 33 destroyed in collision with Kosmos 2251","Iridium, Iridium 33 destroyed in collision with Kosmos 2251",,"LEO, Iridium 33 destroyed in collision with Kosmos 2251","Communications, Iridium 33 destroyed in collision with Kosmos 2251",0,0
1997.0,9.0,1.0,16.0,130,Kosmos-3M,"Kosmos 2346 (Parus), FAISAT-2V","MO RF, FAI",,LEO,"Navigation, Communications",0,1
1997.0,9.0,1.0,23.0,8,Ariane 4 (42L),Intelsat 803,Intelsat,,GEO,Communications,0,1
1997.0,9.0,2.0,21.0,178,Molniya-M,Molniya-1T,MO RF,,Molniya,Communications,0,1
1997.0,9.0,4.0,2.0,275,Space Shuttle Atlantis,"STS-86, SpaceHab LDM, Crewed orbital flight with seven astronauts","NASA, NASA/SpaceHab, Crewed orbital flight with seven astronauts",,"LEO (Mir), LEO (Atlantis), Crewed orbital flight with seven astronauts","Shuttle-Mir flight, Logistics, Crewed orbital flight with seven astronauts",1,1
1997.0,9.0,5.0,1.0,78,Delta II 7920-10C,"Iridium 19, Iridium 37, Iridium 36, Iridium 35, Iridium 34",Iridium,,LEO,Communications,0,1
1997.0,9.0,0.0,4.0,186,PSLV,IRS-1D,ISRO,,Sun-synchronous,Remote sensing,0,1
1997.0,10.0,6.0,15.0,270,Soyuz-U,"Progress M-36, Sputnik-40, X-Mir","Roskosmos, DASA",,"LEO (Mir), LEO","Logistics, Amateur communications, Inspect Mir",0,1
1997.0,10.0,6.0,21.0,38,Atlas IIAS,Echostar 3,EchoStar,,GEO,Communications,0,1
1997.0,10.0,3.0,17.0,270,Soyuz-U,Foton 11,Roskosmos,,LEO,Microgravity research,0,1
1997.0,10.0,2.0,8.0,303,Titan IVB (401)/Centaur,"Cassini, Huygens, Cassini is the first spacecraft to orbit Saturn and Huygens is the first spacecraft to land on Titan. Huygens released from Cassini on 25 December 2004.","NASA, NASA/ESA, Cassini is the first spacecraft to orbit Saturn and Huygens is the first spacecraft to land on Titan. Huygens released from Cassini on 25 December 2004.",,"Kronocentric Orbit, Cassini is the first spacecraft to orbit Saturn and Huygens is the first spacecraft to land on Titan. Huygens released from Cassini on 25 December 2004.","Saturn orbiter, Titan lander, Cassini is the first spacecraft to orbit Saturn and Huygens is the first spacecraft to land on Titan. Huygens released from Cassini on 25 December 2004.",0,1
1997.0,10.0,3.0,19.0,150,Long March 3B,Apstar 2R,APT,,GEO,Communications,0,1
1997.0,10.0,2.0,13.0,195,Pegasus-XL,STEP-4,US Air Force,,LEO,,0,1
1997.0,10.0,4.0,2.0,299,Titan IVA (403),USA-133 (Lacrosse 3),NRO,,LEO,Reconnaissance,0,1
1997.0,10.0,5.0,0.0,35,Atlas IIA,"USA-135 (DSCS III F13), FalconSat Gold","US Air Force, USAFA",,"GEO, GEO transfer","Communications, Technology demonstration",0,1
1997.0,10.0,3.0,13.0,23,Ariane 5G,"MAQSAT-H, MAQSAT-B, TEAMSAT, YES","ESA, ESTEC",,GEO transfer,"Boilerplate, Technology development, Technolovy development",0,1
1997.0,11.0,6.0,12.0,314,VLS-1,SCD-2A,INPE,,Intended: LEO,Weather satellite,0,0
1997.0,11.0,3.0,0.0,88,Delta II 7925-9.5,USA-134 (GPS IIA-19),US Air Force,,MEO,Navigation,0,1
1997.0,11.0,5.0,2.0,297,Titan IVA (401)/Centaur,"USA-136 (Trumpet 3), NRO Launch 4","NRO, NRO Launch 4",,"Molniya, NRO Launch 4","SIGINT, NRO Launch 4",0,1
1997.0,11.0,6.0,1.0,78,Delta II 7920-10C,"Iridium 43, Iridium 41, Iridium 40, Iridium 39, Iridium 38",Iridium,,LEO,Communications,0,1
1997.0,11.0,2.0,17.0,216,Proton-K/DM-2M,"Kupon, Onboard computer failed, Astra 1G","RFCB, Onboard computer failed, SES",,"GEO, Onboard computer failed","Communications, Onboard computer failed",0,0
1997.0,11.0,2.0,21.0,10,Ariane 4 (44L),"Sirius 2, IndoStar-1, Astra 5A (Sirius 2) failed on 16 January 2009","NSAB, Indostar, Astra 5A (Sirius 2) failed on 16 January 2009",,"GEO, Astra 5A (Sirius 2) failed on 16 January 2009","Communications, Astra 5A (Sirius 2) failed on 16 January 2009",0,0
1997.0,11.0,1.0,11.0,270,Soyuz-U,Resurs F-1M,Roskosmos,,LEO,Remote sensing,0,1
1997.0,11.0,2.0,19.0,276,Space Shuttle Columbia,"STS-87, SPARTAN-201, EDO Pallet, Crewed orbital flight with six astronauts Spartan failed to orient itself due to human error during deployment on 21 November; was retrieved on 25 November.","NASA, Crewed orbital flight with six astronauts Spartan failed to orient itself due to human error during deployment on 21 November; was retrieved on 25 November.",,"LEO, LEO (Columbia), Crewed orbital flight with six astronauts Spartan failed to orient itself due to human error during deployment on 21 November; was retrieved on 25 November.","Microgravity experiments, Microgravity research, Cryogenic mission extension pallet, Crewed orbital flight with six astronauts Spartan failed to orient itself due to human error during deployment on 21 November; was retrieved on 25 November.",1,0
1997.0,11.0,3.0,21.0,121,H-II,"TRMM, Hikoboshi (ETS-7), Orihime (ETS-7), The two ETS satellites docked on 7 July 1998","NASA, NASDA, The two ETS satellites docked on 7 July 1998",,"LEO, The two ETS satellites docked on 7 July 1998","Environmental research, Docking test, The two ETS satellites docked on 7 July 1998",0,1
1997.0,12.0,1.0,22.0,12,Ariane 4 (44P),"JCSAT 5, Equator-S","JSAT, DLR",,"GEO, GEO transfer","Communications, Magnetospheric research",0,1
1997.0,12.0,0.0,7.0,140,Long March 2C,"Iridium 42, Iridium 44",Iridium,,LEO,Communications,0,0
1997.0,12.0,0.0,23.0,38,Atlas IIAS,"Galaxy 8i, Retired in October 2002","PanAmSat, Retired in October 2002",,"Current: Graveyard Operational: GEO, Retired in October 2002","Communications, Retired in October 2002",0,1
1997.0,12.0,1.0,7.0,309,Tsyklon-2,Kosmos 2347 (EORSAT,MO RF,,LEO,SIGINT,0,1
1997.0,12.0,0.0,15.0,270,Soyuz-U,Kosmos 2348 (Yantar),MO RF,,LEO,Reconnaissance,0,1
1997.0,12.0,5.0,8.0,270,Soyuz-U,Progress M-37,Roskosmos,,LEO (Mir),Logistics,0,1
1997.0,12.0,5.0,13.0,78,Delta II 7920-10C,"Iridium 45, Iridium 46, Iridium 47, Iridium 48, Iridium 49",Iridium,,LEO,Communications,0,0
1997.0,12.0,0.0,0.0,8,Ariane 4 (42L),Intelsat 804,Intelsat,,GEO,Communications,0,1
1997.0,12.0,1.0,19.0,196,Pegasus-XL/HAPS,"Orbcomm A1, Orbcomm A2, Orbcomm A3, Orbcomm A4, Orbcomm A5, Orbcomm A6, Orbcomm A7, Orbcomm A8",Orbcomm,,LEO,Communications,0,1
1997.0,12.0,2.0,13.0,281,Start-1,Early Bird 1,EarthWatch,,LEO,Earth observation,0,1
1997.0,12.0,2.0,23.0,216,Proton-K/DM-2M,"AsiaSat 3, Upper stage failure; Performed lunar flyby to reduce orbital inclination and reach operational position.","AsiaSat, Upper stage failure; Performed lunar flyby to reduce orbital inclination and reach operational position.",,"GEO, Upper stage failure; Performed lunar flyby to reduce orbital inclination and reach operational position.","Communications, Upper stage failure; Performed lunar flyby to reduce orbital inclination and reach operational position.",0,0
1998.0,1.0,2.0,2.0,29,Athena II,Lunar Prospector,NASA,,Selenocentric,Lunar orbiter,0,1
1998.0,1.0,5.0,0.0,88,Delta II 7925-9.5,Skynet 4D,MoD,,GEO,Communications,0,1
1998.0,1.0,3.0,12.0,246,Shavit,"Ofeq-4, Second stage failure",Second stage failure,,"Intended: LEO (retrograde), Second stage failure","Reconnaissance, Second stage failure",0,0
1998.0,1.0,4.0,2.0,278,Space Shuttle Endeavour,"STS-89, SpaceHab Logistics Double Module, Crewed orbital flight with seven astronauts","NASA, NASA/SpaceHab, Crewed orbital flight with seven astronauts",,"LEO (Mir), LEO (Endeavour), Crewed orbital flight with seven astronauts","Shuttle-Mir Program, Logistics, Crewed orbital flight with seven astronauts",1,1
1998.0,1.0,3.0,16.0,270,Soyuz-U,"Soyuz TM-27, Crewed orbital flight with three cosmonauts","Roskosmos, Crewed orbital flight with three cosmonauts",,"LEO (Mir), Crewed orbital flight with three cosmonauts","Mir EO-25, Crewed orbital flight with three cosmonauts",1,1
1998.0,1.0,3.0,18.0,35,Atlas IIA,"USA-137 (SDS-3-1), NRO Launch 5","NRO, NRO Launch 5",,"Molniya, NRO Launch 5","Communications, NRO Launch 5",0,1
1998.0,2.0,2.0,23.0,17,Ariane 4 44LP,"Brazilsat B3, Inmarsat 3F5","Embratel, Inmarsat",,GEO,Communications,0,1
1998.0,2.0,1.0,13.0,288,Taurus 2210,"GFO, Orbcomm G1, Orbcomm G2, Celestis-02","US Navy, Orbcomm, Celestis",,LEO,"Radar altimetry, Communications, Space burial",0,1
1998.0,2.0,5.0,14.0,72,Delta II 7420-10C,"Globalstar 1, Globalstar 4, Globalstar 2, Globalstar 3",Globalstar,,LEO,Communications,0,1
1998.0,2.0,1.0,10.0,270,Soyuz-U,Kosmos 2349 (Yantar),,,LEO,Cartography,0,1
1998.0,2.0,2.0,13.0,78,Delta II 7920-10C,"Iridium 52, Iridium 56, Iridium 54, Iridium 50, Iridium 53",Iridium,,LEO,Communications,0,1
1998.0,2.0,5.0,7.0,121,H-II,"Kakehashi (COMETS), Upper stage failure led to lower orbit than planned","NASDA, Upper stage failure led to lower orbit than planned",,"Intended: GEO Actual: MEO, Upper stage failure led to lower orbit than planned","Communications, Upper stage failure led to lower orbit than planned",0,0
1998.0,2.0,3.0,7.0,195,Pegasus-XL,"SNOE, Teledesic 1","NASA/UC Boulder, Teledesic",,LEO,"Nitric Oxide research, Communications",0,1
1998.0,2.0,4.0,22.0,15,Ariane 4 42P,Hot Bird 4,Eutelsat,,GEO,Communications,0,1
1998.0,2.0,5.0,0.0,38,Atlas IIAS,Intelsat 806,Intelsat,,GEO,Communications,0,1
1998.0,3.0,5.0,22.0,270,Soyuz-U,"Progress M-38, VDU 2",Roskosmos,,LEO (Mir),"Logistics, Mir attitude control unit",0,1
1998.0,3.0,0.0,21.0,33,Atlas II,"USA-138 (UHF F/O F8), ","US Navy, Final flight of baseline Atlas II",Final flight,"GEO, Final flight of baseline Atlas II","Communications, Final flight of baseline Atlas II",0,1
1998.0,3.0,1.0,1.0,13,Ariane 4 40,SPOT 4,CNES,,Sun-synchronous,Earth Imaging,0,1
1998.0,3.0,2.0,17.0,140,Long March 2C,"Iridium 51, Iridium 61",Iridium,,LEO,Communications,0,1
1998.0,3.0,0.0,6.0,78,Delta II 7920-10C,"Iridium 55, Iridium 57, Iridium 58, Iridium 59, Iridium 60",Iridium,,LEO,Communications,0,1
1998.0,4.0,3.0,2.0,195,Pegasus-XL,TRACE,NASA,,LEO,Solar research,0,1
1998.0,4.0,1.0,2.0,219,Proton-K/DM2,"Iridium 62, Iridium 63, Iridium 64, Iridium 65, Iridium 66, Iridium 67, Iridium 68",Iridium,,LEO,Communications,0,1
1998.0,4.0,4.0,18.0,276,Space Shuttle Columbia,"STS-90, Spacelab LM-2 (Neurolab), EDO Pallet, Crewed orbital flight with seven astronauts","NASA, Crewed orbital flight with seven astronauts Final flight of Spacelab Long Module No. 2",Final flight,"LEO, LEO (Columbia), Crewed orbital flight with seven astronauts Final flight of Spacelab Long Module No. 2","Microgravity research, Life science research, Cryogenic mission duration extension pallet, Crewed orbital flight with seven astronauts Final flight of Spacelab Long Module No. 2",1,1
1998.0,4.0,4.0,22.0,72,Delta II 7420-10C,"Globalstar 14, Globalstar 6, Globalstar 15, Globalstar 8",Globalstar,,LEO,Communications,0,1
1998.0,4.0,1.0,22.0,18,Ariane 4 44P,"Nilesat 101, BSAT-1B, Nilesat is the first Egyptian satellite","Nilesat, BSAT, Nilesat is the first Egyptian satellite",,"GEO, Nilesat is the first Egyptian satellite","Communications, Nilesat is the first Egyptian satellite",0,1
1998.0,4.0,2.0,4.0,215,Proton-K/DM-2,Kosmos 2350 (Prognoz SPRN),RVSN,,GEO,Communications,0,1
1998.0,5.0,5.0,9.0,140,Long March 2C,"Iridium 69, Iridium 71",Iridium,,LEO,Communications,0,1
1998.0,5.0,3.0,8.0,178,Molniya-M,Kosmos 2351 (Oko),MO RF,,Molniya,Early Warning,0,1
1998.0,5.0,3.0,23.0,216,Proton-K/DM-2M,EchoStar 4,EchoStar,,GEO,Communications,0,1
1998.0,5.0,5.0,1.0,308,Titan IVB 401/Centaur,"USA-139 / Orion 4, NROL-6 mission.","NRO, NROL-6 mission.",,"GEO, NROL-6 mission.","SIGINT, NROL-6 mission.",0,1
1998.0,5.0,2.0,15.0,291,Titan 23G,NOAA-15 (NOAA-K),NOAA,,Sun-synchronous,Weather satellite,0,1
1998.0,5.0,3.0,22.0,270,Soyuz-U,Progress M-39,Roskosmos,,LEO (Mir),Logistics,0,1
1998.0,5.0,6.0,21.0,78,Delta II 7920-10C,"Iridium 70, Iridium 72, Iridium 73, Iridium 74, Iridium 75",Iridium,,LEO,Communications,0,1
1998.0,5.0,5.0,10.0,150,Long March 3B,Zhongwei 1 (ChinaStar 1),COTSC,,GEO,Communications,0,1
1998.0,6.0,1.0,22.0,277,Space Shuttle Discovery,"STS-91, SpaceHab Logistics Double Module, AMS-01, Crewed orbital flight with six astronauts, landing with seven Final Shuttle-Mir flight and first shuttle flight with Super-lightweight Aluminium/Lithium ET","NASA, NASA/SpaceHab, ESA, Crewed orbital flight with six astronauts, landing with seven Final Shuttle-Mir flight and first shuttle flight with Super-lightweight Aluminium/Lithium ET",,"LEO (Mir), LEO (Discovery), Crewed orbital flight with six astronauts, landing with seven Final Shuttle-Mir flight and first shuttle flight with Super-lightweight Aluminium/Lithium ET","Shuttle-Mir flight, Logistics, Particle physics, Crewed orbital flight with six astronauts, landing with seven Final Shuttle-Mir flight and first shuttle flight with Super-lightweight Aluminium/Lithium ET",1,1
1998.0,6.0,2.0,0.0,88,Delta II 7925-9.5,Thor 3,Telenor,,GEO,Communications,0,1
1998.0,6.0,0.0,22.0,310,Tsyklon-3,"Kosmos 2352 (Strela-3), Kosmos 2353 (Strela-3), Kosmos 2354 (Strela-3), Kosmos 2355 (Strela-3), Kosmos 2356 (Strela-3), Kosmos 2357 (Strela-3), Third stage failure left satellites in lower orbit than planned","MO RF, Third stage failure left satellites in lower orbit than planned",,"Intended: MEO Actual: LEO, Third stage failure left satellites in lower orbit than planned","Communications, Third stage failure left satellites in lower orbit than planned",0,0
1998.0,6.0,3.0,22.0,38,Atlas IIAS,Intelsat 805,Intelsat,,GEO,Communications,0,1
1998.0,6.0,2.0,18.0,270,Soyuz-U,Kosmos 2358 (Yantar),MO RF,,LEO,Reconnaissance,0,1
1998.0,6.0,3.0,14.0,270,Soyuz-U,Kosmos 2359 (Yantar),MO RF,,LEO,Reconnaissance,0,1
1998.0,7.0,2.0,0.0,178,Molniya-M,Molniya 3–49,MOM,,Molniya,Communications,0,1
1998.0,7.0,4.0,18.0,170,M-V,"Nozomi (PLANET-B), Gravity assist produced less velocity than expected, spacecraft ran out of fuel trying to compensate","ISAS, Gravity assist produced less velocity than expected, spacecraft ran out of fuel trying to compensate",,"Intended: Areocentric Actual: Heliocentric, Gravity assist produced less velocity than expected, spacecraft ran out of fuel trying to compensate","Mars orbiter, Gravity assist produced less velocity than expected, spacecraft ran out of fuel trying to compensate",0,0
1998.0,7.0,1.0,3.0,249,Shtil',"Tubsat-N, Tubsat-N1, Shtil 1","TUB, Makeev",,LEO,"Communications, Measure carrier rocket performance",0,1
1998.0,7.0,4.0,6.0,317,Zenit-2,"Resurs-O1 4, Fasat-Bravo, TMSAT, Gurwin Techsat 1B, WESTPAC, SAFIR-2, Fasat-Bravo is the first successful Chilean satellite","FACh, Technion, WPLTN, DLR, Fasat-Bravo is the first successful Chilean satellite",,"LEO, Fasat-Bravo is the first successful Chilean satellite","Remote sensing, Communications, Technology development, Laser tracking, Fasat-Bravo is the first successful Chilean satellite",0,1
1998.0,7.0,5.0,9.0,150,Long March 3B,Sinosat-1,SinoSat,,GEO,Communications,0,1
1998.0,7.0,1.0,9.0,317,Zenit-2,Kosmos 2360 (Tselina-2),MO RF,,LEO,SIGINT,0,1
1998.0,8.0,6.0,16.0,196,Pegasus-XL/HAPS,"Orbcomm B5, Orbcomm B6, Orbcomm B7, Orbcomm B8, Orbcomm B4, Orbcomm B3, Orbcomm B2, Orbcomm B1, The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019","Orbcomm, The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019",,"LEO, The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019","Communications, The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019",0,1
1998.0,8.0,2.0,11.0,302,Titan IVA 401/Centaur,"Mercury-3, ",Final flight of Titan IVA Control lost after guidance system malfunction; Range Safety self-destruct,Final flight,"Intended: GEO, Final flight of Titan IVA Control lost after guidance system malfunction; Range Safety self-destruct","ELINT, Final flight of Titan IVA Control lost after guidance system malfunction; Range Safety self-destruct",0,0
1998.0,8.0,3.0,9.0,270,Soyuz-U,"Soyuz TM-28, Crewed orbital flight with three cosmonauts","Roskosmos, Crewed orbital flight with three cosmonauts",,"LEO (Mir), Crewed orbital flight with three cosmonauts","Mir EO-26, Crewed orbital flight with three cosmonauts",1,1
1998.0,8.0,2.0,23.0,140,Long March 2C,"Iridium 3, Iridium 76",Iridium,,LEO,Communications,0,1
1998.0,8.0,1.0,23.0,18,Ariane 4 44P,ST-1,Singapore Telecom/Chunghwa Telecom,,GEO,Communications,0,1
1998.0,8.0,3.0,1.0,90,Delta III 8930,Galaxy 10,PanAmSat,,Intended: GEO,Communications,0,0
1998.0,8.0,6.0,0.0,216,Proton-K/DM-2M,Astra 2A,SES,,GEO,Communications,0,1
1998.0,8.0,0.0,3.0,192,Paektusan-1,"Kwangmyŏngsŏng-1, First North Korean orbital launch attempt, never achieved orbit due to a suspected third stage failure. North Korea considered the launch as successful.","KCST, First North Korean orbital launch attempt, never achieved orbit due to a suspected third stage failure. North Korea considered the launch as successful.",,"Intended: LEO, First North Korean orbital launch attempt, never achieved orbit due to a suspected third stage failure. North Korea considered the launch as successful.","Communications, First North Korean orbital launch attempt, never achieved orbit due to a suspected third stage failure. North Korea considered the launch as successful.",0,0
1998.0,9.0,1.0,21.0,78,Delta II 7920-10C,"Iridium 82, Iridium 81, Iridium 80, Iridium 79, Iridium 77",Iridium,,LEO,Communications,0,0
1998.0,9.0,2.0,20.0,317,Zenit-2,"Globalstar 5, Globalstar 7, Globalstar 9, Globalstar 10, Globalstar 11, Globalstar 12, Globalstar 13, Globalstar 16, Globalstar 17, Globalstar 18, Globalstar 20, Globalstar 21, Computer error caused premature second stage cutout","Globalstar, Computer error caused premature second stage cutout",,"Intended: LEO, Computer error caused premature second stage cutout","Communications, Computer error caused premature second stage cutout",0,0
1998.0,9.0,2.0,6.0,17,Ariane 4 44LP,PanAmSat 7,PanAmSat,,GEO,Communications,0,1
1998.0,9.0,2.0,5.0,196,Pegasus-XL/HAPS,"Orbcomm C1, Orbcomm C2, Orbcomm C3, Orbcomm C4, Orbcomm C5, Orbcomm C6, Orbcomm C7, Orbcomm C8",Orbcomm,,LEO,Communications,0,1
1998.0,9.0,0.0,23.0,178,Molniya-M,Molniya-1T,MOM,,Molniya,Communications,0,1
1998.0,10.0,5.0,10.0,286,Taurus 1110,"STEX, USA-141 (ATeX), ATeX failed to deploy fully and was jettisoned from STEX on 16 January 1999 to protect the main spacecraft","NRO, ATeX failed to deploy fully and was jettisoned from STEX on 16 January 1999 to protect the main spacecraft",,"LEO, ATeX failed to deploy fully and was jettisoned from STEX on 16 January 1999 to protect the main spacecraft","Technology research, ATeX failed to deploy fully and was jettisoned from STEX on 16 January 1999 to protect the main spacecraft",0,0
1998.0,10.0,0.0,22.0,16,Ariane 4 44L,"Eutelsat W2, Sirius 3","Eutelsat, NSAB",,GEO,Communications,0,1
1998.0,10.0,4.0,22.0,35,Atlas IIA,Hot Bird 5,Eutelsat,,GEO,Communications,0,1
1998.0,10.0,1.0,7.0,35,Atlas IIA,USA-140 (UHF F/O F9),US Navy,,GEO,Communications,0,1
1998.0,10.0,2.0,16.0,23,Ariane 5G,"Maqsat 3, ARD, ARD recovered in Pacific Ocean by French Navy","ESA, ARD recovered in Pacific Ocean by French Navy",,"GEO transfer, Suborbital, ARD recovered in Pacific Ocean by French Navy","Monitor rocket performance, Spacecraft recovery demonstration, ARD recovered in Pacific Ocean by French Navy",0,1
1998.0,10.0,4.0,0.0,194,Pegasus-H,SCD-2,INPE,,LEO,Communications,0,1
1998.0,10.0,5.0,21.0,69,Delta II 7326-9.5,"Deep Space 1, SEDSAT-1","NASA, Alabama",,"Heliocentric, LEO","Asteroid/Comet probe, Amateur radio",0,1
1998.0,10.0,6.0,4.0,270,Soyuz-U,"Progress M-40, Sputnik-41, Sputnik-41 deployed from Mir during an EVA on 10 November","Roskosmos, ACF/AMSAT/RuAF, Sputnik-41 deployed from Mir during an EVA on 10 November",,"LEO (Mir), LEO, Sputnik-41 deployed from Mir during an EVA on 10 November","Logistics, Amateur radio, Sputnik-41 deployed from Mir during an EVA on 10 November",0,1
1998.0,10.0,2.0,22.0,16,Ariane 4 44L,"AfriStar, GE 5","1worldspace, GE Americom",,GEO,Communications,0,1
1998.0,10.0,3.0,19.0,277,Space Shuttle Discovery,"STS-95, SpaceHab Single Module, SPARTAN-201, PANSAT (PO-34), Crewed orbital flight with seven astronauts including the first Spanish space traveller (Pedro Duque) and the oldest person to fly in space (John Glenn) PANSAT deployed on 30 October; SPARTAN deployed on 1 November and retrieved on 3 November","NASA, NASA/SpaceHab, US Navy, Crewed orbital flight with seven astronauts including the first Spanish space traveller (Pedro Duque) and the oldest person to fly in space (John Glenn) PANSAT deployed on 30 October; SPARTAN deployed on 1 November and retrieved on 3 November",,"LEO, LEO (Discovery), Crewed orbital flight with seven astronauts including the first Spanish space traveller (Pedro Duque) and the oldest person to fly in space (John Glenn) PANSAT deployed on 30 October; SPARTAN deployed on 1 November and retrieved on 3 November","Microgravity research, Scientific research, Solar observation, Technology demonstration, Crewed orbital flight with seven astronauts including the first Spanish space traveller (Pedro Duque) and the oldest person to fly in space (John Glenn) PANSAT deployed on 30 October; SPARTAN deployed on 1 November and retrieved on 3 November",1,1
1998.0,11.0,2.0,5.0,216,Proton-K/DM-2M,PanAmSat 8,PanAmSat,,GEO,Communications,0,1
1998.0,11.0,4.0,13.0,78,Delta II 7920-10C,"Iridium 2, Iridium 86, Iridium 85, Iridium 84, Iridium 83",Iridium,,LEO,Communications,0,1
1998.0,11.0,4.0,5.0,199,Proton-K,"Zarya, First launch of the International Space Station programme","NASA/Roskosmos, First launch of the International Space Station programme",,"LEO (ISS), First launch of the International Space Station programme","ISS module, First launch of the International Space Station programme",0,1
1998.0,11.0,6.0,23.0,88,Delta II 7925-9.5,BONUM-1,Telenor,,GEO,Communications,0,1
