DateTimeYear,index,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,FlightNumberInfo,LaunchSite
8 June 15:08-2001,2810,Kosmos-3M,Kosmos 2378,MO RF,LEO,Navigation,In orbit,Operational,,
9 June 06:45-2001,2812,Ariane 4 44L,Intelsat 901,Intelsat,GEO,Communications,In orbit,Operational,,
16 June 01:49-2001,2814,Proton-K/DM-2M,Astra 2C,SES Astra,GEO,Communications,In orbit,Operational,,
19 June 04:41-2001,2816,Atlas IIAS,ICO F2,ICO,MEO,Communications,In orbit,Operational,,
30 June 17:45-2001,"2818, 2819",Delta II 7425-10,"WMAP, Ceased operations on 20 August 2010, subsequently manoeuvred into heliocentric orbit on 8 September[2]","NASA, Ceased operations on 20 August 2010, subsequently manoeuvred into heliocentric orbit on 8 September[2]","Earth-Sun L2 Lagrange Point, Ceased operations on 20 August 2010, subsequently manoeuvred into heliocentric orbit on 8 September[2]","Astronomy, Ceased operations on 20 August 2010, subsequently manoeuvred into heliocentric orbit on 8 September[2]","In orbit, Ceased operations on 20 August 2010, subsequently manoeuvred into heliocentric orbit on 8 September[2]","Successful, Ceased operations on 20 August 2010, subsequently manoeuvred into heliocentric orbit on 8 September[2]",,
12 July 09:03-2001,"2822, 2823, 2824",Space Shuttle Atlantis,"STS-104, Quest, Crewed orbital flight with five astronauts","NASA, Crewed orbital flight with five astronauts","LEO (ISS), LEO, Crewed orbital flight with five astronauts","ISS assembly, ISS component, Crewed orbital flight with five astronauts","25 July 03:38, In orbit, Crewed orbital flight with five astronauts","Successful, Operational, Crewed orbital flight with five astronauts",,
12 July 21:58-2001,"2826, 2827, 2828",Ariane 5G,"Artemis, BSAT-2B, Premature cutoff of 2nd stage. Artemis reached correct orbit under own power, BSAT abandoned in useless orbit","ESA, BSAT, Premature cutoff of 2nd stage. Artemis reached correct orbit under own power, BSAT abandoned in useless orbit","GEO, Intended: GEO Achieved: MEO, Premature cutoff of 2nd stage. Artemis reached correct orbit under own power, BSAT abandoned in useless orbit","Navigation, Communications, Premature cutoff of 2nd stage. Artemis reached correct orbit under own power, BSAT abandoned in useless orbit","In orbit, 28 January 2014, Premature cutoff of 2nd stage. Artemis reached correct orbit under own power, BSAT abandoned in useless orbit","Partial launch failure Operational, Launch failure, Premature cutoff of 2nd stage. Artemis reached correct orbit under own power, BSAT abandoned in useless orbit",,
20 July 00:17-2001,2830,Molniya-M,Molniya 3–51,MO RF,Molniya,Communications,19 December 2016[3],Successful,,
23 July 07:23-2001,2832,Atlas IIA,GOES-12 (GOES-M),NOAA,GEO,Weather satellite,In orbit,Operational,,
31 July 08:00-2001,2834,Tsyklon-3,Koronas F,RAKA,Sun-synchronous,Solar observation,6 December 2005[4],Successful,,
6 August 07:28-2001,2837,Titan IVB (402)/IUS,DSP-21 (USA-159),US Air Force,GEO,Missile early warning,In orbit,Operational,,
8 August 16:13-2001,"2839, 2840",Delta II 7326-9.5,"Genesis, Parachute failed to deploy upon return to Earth, some samples recovered from wreckage","NASA, Parachute failed to deploy upon return to Earth, some samples recovered from wreckage","Earth-Sun L1 Lagrange Point, Parachute failed to deploy upon return to Earth, some samples recovered from wreckage","Solar wind sample return, Parachute failed to deploy upon return to Earth, some samples recovered from wreckage","8 September 2004, Parachute failed to deploy upon return to Earth, some samples recovered from wreckage","Partial failure, Parachute failed to deploy upon return to Earth, some samples recovered from wreckage",,
10 August 21:10-2001,"2842, 2843, 2844, 2845",Space Shuttle Discovery,"STS-105, Leonardo MPLM, Simplesat, Crewed orbital flight with seven astronauts ISS crew exchange (launched Expedition 3) Simplesat released 20 August 18:30 UTC, and failed to contact ground","NASA, ASI/NASA, Crewed orbital flight with seven astronauts ISS crew exchange (launched Expedition 3) Simplesat released 20 August 18:30 UTC, and failed to contact ground","LEO (ISS), LEO, Crewed orbital flight with seven astronauts ISS crew exchange (launched Expedition 3) Simplesat released 20 August 18:30 UTC, and failed to contact ground","ISS assembly, Logistics, Astronomy, Crewed orbital flight with seven astronauts ISS crew exchange (launched Expedition 3) Simplesat released 20 August 18:30 UTC, and failed to contact ground","22 August 03:38, 30 January 2002, Crewed orbital flight with seven astronauts ISS crew exchange (launched Expedition 3) Simplesat released 20 August 18:30 UTC, and failed to contact ground","Successful, Failure, Crewed orbital flight with seven astronauts ISS crew exchange (launched Expedition 3) Simplesat released 20 August 18:30 UTC, and failed to contact ground",,
21 August 09:23-2001,"2847, 2848",Soyuz-U,"Progress M-45, ISS flight 5P","Roskosmos, ISS flight 5P","LEO (ISS), ISS flight 5P","Logistics, ISS flight 5P","22 November, ISS flight 5P","Successful, ISS flight 5P",,
24 August 20:35-2001,2850,Proton-K/DM-2,Kosmos 2379,VKS,GEO,Early warning,In orbit,Operational,,
29 August 07:00-2001,"2852, 2853",H-IIA 202,"LRE, VEP-2",NASDA,GEO transfer,"Orbit determination, Boilerplate spacecraft",In orbit,Successful,,
30 August 06:46-2001,2856,Ariane 4 44L,Intelsat 902,Intelsat,GEO,Communications,In orbit,Operational,,
8 September 15:25-2001,"2859, 2860",Atlas IIAS,"NOSS C1-1 (USA-160), NOSS C1-1 (USA-160-2)",NRO,LEO,SIGINT,In orbit,Operational,,
14 September 23:34-2001,"2862, 2863, 2864",Soyuz-U,"Progress M-SO1, Pirs, ISS flight 4R","Roscosmos, ISS flight 4R","LEO (ISS), ISS flight 4R","Space tug / ISS assembly, ISS component, ISS flight 4R","26 September, 26 July 2021 14:51[5], ISS flight 4R","Successful, ISS flight 4R",,
21 September 18:49-2001,"2866, 2867, 2868, 2869",Taurus 2110,"Orbview-4, QuikTOMS, SBD / Celestis-4, Failed to reach orbit after control issues. SBD and Celestis-4 were hosted payloads on the third stage.","OrbImage, NASA, Orbital Sciences / Celestis, Failed to reach orbit after control issues. SBD and Celestis-4 were hosted payloads on the third stage.","Intended: LEO (SSO), Failed to reach orbit after control issues. SBD and Celestis-4 were hosted payloads on the third stage.","Earth observation, Ozone observation, Technology demonstration / Space burial, Failed to reach orbit after control issues. SBD and Celestis-4 were hosted payloads on the third stage.","21 September, Failed to reach orbit after control issues. SBD and Celestis-4 were hosted payloads on the third stage.","Launch failure, Failed to reach orbit after control issues. SBD and Celestis-4 were hosted payloads on the third stage.",,
25 September 23:21-2001,"2871, 2872",Ariane 4 44P,"Atlantic Bird 2, ","Eutelsat, Final flight of Ariane 4 44P.","GEO, Final flight of Ariane 4 44P.","Communications, Final flight of Ariane 4 44P.","In orbit, Final flight of Ariane 4 44P.","Operational, Final flight of Ariane 4 44P.",Final flight,
30 September 02:40-2001,"2874, 2875, 2876, 2877, 2878",Athena I,"Starshine 3, Picosat 9, PCSat, SAPPHIRE, Kodiak Star, Space Test Program mission.","NASA, U.S. Air Force, Stanford University, Kodiak Star, Space Test Program mission. Final flight of Athena I, and at the time final flight of the Athena family, which was later reactivated. First orbital launch from Kodiak Island.","LEO, Kodiak Star, Space Test Program mission. Final flight of Athena I, and at the time final flight of the Athena family, which was later reactivated. First orbital launch from Kodiak Island.","Laser ranging, Technology demonstration, Communications, Education, Kodiak Star, Space Test Program mission. Final flight of Athena I, and at the time final flight of the Athena family, which was later reactivated. First orbital launch from Kodiak Island.","21 January 2003, In orbit, Kodiak Star, Space Test Program mission. Final flight of Athena I, and at the time final flight of the Athena family, which was later reactivated. First orbital launch from Kodiak Island.","Successful, Operational, Kodiak Star, Space Test Program mission. Final flight of Athena I, and at the time final flight of the Athena family, which was later reactivated. First orbital launch from Kodiak Island.",Final flight,
5 October 21:21-2001,2881,Titan IVB (404),EIS-2 (USA-161),NRO,Sun-synchronous,Reconnaissance,In orbit,Operational,,
6 October 16:45-2001,2883,Proton-K/DM-2,Raduga-1,VKS,GEO,Communications,In orbit,Operational,,
11 October 02:32-2001,2885,Atlas IIAS,Aquila (USA-162),NRO,GEO,Communications,In orbit,Operational,,
18 October 18:51-2001,2887,Delta II 7320-10,QuickBird 2,DigitalGlobe,LEO,Earth observation,27 January 2015[6],Successful,,
21 October 08:59-2001,"2889, 2890",Soyuz-U,"Soyuz TM-33, Crewed orbital flight with three cosmonauts","Roskosmos, Crewed orbital flight with three cosmonauts","LEO (ISS), Crewed orbital flight with three cosmonauts","ISS escape craft, Crewed orbital flight with three cosmonauts","5 May 2002 03:52, Crewed orbital flight with three cosmonauts","Successful, Crewed orbital flight with three cosmonauts",,
22 October 04:53-2001,"2892, 2893, 2894",PSLV,"TES, PROBA, BIRD","ISRO, ESA, DLR",LEO,"Reconnaissance, Technology demonstration, Earth imaging",In orbit,Operational,,
25 October 11:34-2001,2896,Molniya-M,Molniya 3–52,VKS,Molniya,Communications,6 December 2011,Successful,,
26 November 18:24-2001,"2899, 2900, 2901",Soyuz-FG,"Progress M1-7, Kolibri, ISS flight 6P Kolibri deployed from Progress on 19 March 2002","Roskosmos, RAKA, ISS flight 6P Kolibri deployed from Progress on 19 March 2002","LEO (ISS), LEO, ISS flight 6P Kolibri deployed from Progress on 19 March 2002","Logistics, Technology demonstration, ISS flight 6P Kolibri deployed from Progress on 19 March 2002","20 March 2002, 4 May 2002, ISS flight 6P Kolibri deployed from Progress on 19 March 2002","Successful, ISS flight 6P Kolibri deployed from Progress on 19 March 2002",,
27 November 00:35-2001,"2903, 2904",Ariane 4 44LP,"DirecTV-4S, ","DirecTV, Final flight of Ariane 4 44LP","GEO, Final flight of Ariane 4 44LP","Communications, Final flight of Ariane 4 44LP","In orbit, Final flight of Ariane 4 44LP","Operational, Final flight of Ariane 4 44LP",Final flight,
1 December 18:04-2001,"2907, 2908, 2909",Proton-K/DM-2,"Kosmos 2382 (GLONASS), Kosmos 2383 (GLONASS), Kosmos 2384 (GLONASS)",KNITs,MEO,Navigation,In orbit,Operational,,
5 December 22:19-2001,"2911, 2912, 2913, 2914",Space Shuttle Endeavour,"STS-108, Raffaello MPLM, Starshine 2, Crewed orbital flight with seven astronauts ISS crew exchange (launched Expedition 4) Starshine 2 released 16 December, 15:02 UTC","NASA, ASI/NASA, Crewed orbital flight with seven astronauts ISS crew exchange (launched Expedition 4) Starshine 2 released 16 December, 15:02 UTC","LEO (ISS), LEO, Crewed orbital flight with seven astronauts ISS crew exchange (launched Expedition 4) Starshine 2 released 16 December, 15:02 UTC","ISS assembly, Logistics, Technology demonstration, Crewed orbital flight with seven astronauts ISS crew exchange (launched Expedition 4) Starshine 2 released 16 December, 15:02 UTC","17 December 17:55, 26 April 2002, Crewed orbital flight with seven astronauts ISS crew exchange (launched Expedition 4) Starshine 2 released 16 December, 15:02 UTC","Successful, Crewed orbital flight with seven astronauts ISS crew exchange (launched Expedition 4) Starshine 2 released 16 December, 15:02 UTC",,
7 December 15:07-2001,"2916, 2917",Delta II 7920-10,"Jason 1, TIMED","CNES/NASA, NASA",LEO,"Oceanography, Solar research",In orbit,Operational,,
10 December 17:18-2001,"2919, 2920, 2921, 2922, 2923",Zenit-2,"Meteor 3M-1, Kompas, Badr-B, Maroc-Tubsat, Reflector","Rosaviakosmos, IZMIRAN, SUPARCO, Centre Royal de Teledetection Spatiale/TU Berlin, Rosaviakosmos/US Air Force",LEO,"Weather satellite, Earthquake prediction, Earth imaging, Earth imaging/Communications, Space debris research",In orbit,"Operational, Partially Successful",,
21 December 04:00-2001,2925,Tsyklon-2,Kosmos 2383 (US-PM),Russian Navy,LEO,Reconnaissance,20 March 2004 18:54[7],Successful,,
28 December 03:24-2001,"2927, 2928, 2929, 2930, 2931, 2932",Tsyklon-3,"Kosmos 2384 (Strela), Kosmos 2385 (Strela), Kosmos 2386 (Strela), Gonets D1-10 (Gonets), Gonets D1-11 (Gonets), Gonets D1-12 (Gonets)",VKS,LEO,Communications,In orbit,Operational,,
16 January 00:30-2002,2935,Titan IVB (401)/Centaur,Milstar DFS-5 (USA-164),US Air Force,GEO,Communications,In orbit,Operational,,
23 January 23:46-2002,"2937, 2938",Ariane 4 42L,"INSAT-3C, ","ISRO, Final flight of Ariane 4 42L","GEO, Final flight of Ariane 4 42L","Communications, Final flight of Ariane 4 42L","In orbit, Final flight of Ariane 4 42L","Operational, Final flight of Ariane 4 42L",Final flight,
4 February 02:45-2002,"2941, 2942, 2943",H-IIA 2024,"MDS-1, DASH, VEP-3","NASDA, ISAS",GEO transfer orbit,"Technology demonstration, Re-entry demonstration, Launch vehicle evaluation",In orbit,"Successful, Spacecraft failure",,
5 February 20:58-2002,2946,Pegasus-XL,RHESSI,NASA,LEO,Heliophysics,In orbit,Successful,,
11 February 17:45-2002,"2948, 2949, 2950, 2951, 2952",Delta II 7920-10C,"Iridium 91, Iridium 90, Iridium 94, Iridium 95, Iridium 96",Iridium,LEO,Communications,"13 March 2019[1], 23 January 2019[2], 18 April 2018[3], 25 March 2019[4], 30 May 2020[5]",Successful,,
21 February 12:43-2002,2954,Atlas IIIB-DEC,Echostar 7,Echostar,GEO,Communications,In orbit,Operational,,
23 February 06:59-2002,2957,Ariane 4 44L,Intelsat 904,Intelsat,GEO,Communications,In orbit,Operational,,
25 February 17:26-2002,2959,Soyuz-U,Kosmos 2387 (Yantar-4K2/Kobalt #81),GRU,LEO,Reconnaissance,27 June 02:30,Successful,,
1 March 01:07-2002,2962,Ariane 5G,Envisat,ESA,Sun-synchronous,Environmental research,In orbit,Successful,,
1 March 11:22-2002,"2964, 2965",Space Shuttle Columbia,"STS-109, Crewed orbital flight with 7 astronauts Hubble Space Telescope servicing mission 3B","NASA, Crewed orbital flight with 7 astronauts Hubble Space Telescope servicing mission 3B","LEO (HST), Crewed orbital flight with 7 astronauts Hubble Space Telescope servicing mission 3B","HST servicing, Crewed orbital flight with 7 astronauts Hubble Space Telescope servicing mission 3B","12 March, Crewed orbital flight with 7 astronauts Hubble Space Telescope servicing mission 3B","Operational, Crewed orbital flight with 7 astronauts Hubble Space Telescope servicing mission 3B",,
8 March 22:59-2002,"2967, 2968",Atlas IIA,"TDRS-9 (TDRS-I), Propellant issues shortly after launch halved spacecraft fuel supply","NASA, Propellant issues shortly after launch halved spacecraft fuel supply","GEO, Propellant issues shortly after launch halved spacecraft fuel supply","Communications, Propellant issues shortly after launch halved spacecraft fuel supply","In orbit, Propellant issues shortly after launch halved spacecraft fuel supply","Partial spacecraft failure Operational, Propellant issues shortly after launch halved spacecraft fuel supply",,
17 March 09:21-2002,"2970, 2971",Rockot/Briz-KM,"GRACE 1, GRACE 2",NASA/DLR,Sun-synchronous,Gravity research,"10 March 2018 06:09 UTC[6], 24 December 2017 00:16 UTC[7]",Successful,,
21 March 20:13-2002,"2973, 2974",Soyuz-U,"Progress M1-8, ISS flight 7P","Roskosmos, ISS flight 7P","LEO (ISS), ISS flight 7P","Logistics, ISS flight 7P","25 June 12:13, ISS flight 7P","Successful, ISS flight 7P",,
25 March 14:15-2002,"2976, 2977",Long March 2F,"Shenzhou 3, Shenzhou spacecraft orbital module",CMSA,LEO,"Test spacecraft, Scientific research","1 April 08:51, 12 November",Successful,,
29 March 01:29-2002,"2979, 2980",Ariane 4 44L,"Astra 3A, JCSAT 8","SES Astra, JSAT",GEO,Communications,In orbit,Operational,,
30 March 17:25-2002,2982,Proton-K/DM-2M,Intelsat 903,Intelsat,GEO,Communications,In orbit,Operational,,
1 April 22:06-2002,2985,Molniya-M/Blok 2BL,Kosmos 2388 (US-K #81),VKS,Molniya,Missile early warning,14 September 2011,Operational,,
8 April 20:44-2002,"2987, 2988, 2989",Space Shuttle Atlantis,"STS-110, S0 Truss, Crewed orbital flight with 7 astronauts","NASA, Crewed orbital flight with 7 astronauts","LEO (ISS), Crewed orbital flight with 7 astronauts","ISS assembly, ISS component, Crewed orbital flight with 7 astronauts","19 April, In orbit, Crewed orbital flight with 7 astronauts","Successful, Operational, Crewed orbital flight with 7 astronauts",,
16 April 23:02-2002,2991,Ariane 4 44L,NSS 7,SES New Skies,GEO,Communications,In orbit,Operational,,
25 April 06:26-2002,"2993, 2994",Soyuz-U,"Soyuz TM-34, Crewed orbital flight with 3 cosmonauts including one space tourist and the first South African space traveller","Roskosmos, Crewed orbital flight with 3 cosmonauts including one space tourist and the first South African space traveller Final flight of Soyuz-TM spacecraft","LEO (ISS), Crewed orbital flight with 3 cosmonauts including one space tourist and the first South African space traveller Final flight of Soyuz-TM spacecraft","ISS escape craft, Crewed orbital flight with 3 cosmonauts including one space tourist and the first South African space traveller Final flight of Soyuz-TM spacecraft","10 November, Crewed orbital flight with 3 cosmonauts including one space tourist and the first South African space traveller Final flight of Soyuz-TM spacecraft","Successful, Crewed orbital flight with 3 cosmonauts including one space tourist and the first South African space traveller Final flight of Soyuz-TM spacecraft",Final flight,
4 May 01:31-2002,"2997, 2998, 2999, 3000",Ariane 4 42P,"SPOT 5, BreizhSat-Oscar 47 (Indefix), BreizhSat-Oscar 48 (Indefix), ","CNES, AMSAT, Final flight of Ariane 4 42P. Both Indefix payloads were permanently attached to the third stage of Ariane 4","LEO, Final flight of Ariane 4 42P. Both Indefix payloads were permanently attached to the third stage of Ariane 4","Earth imaging, Amateur radio, Final flight of Ariane 4 42P. Both Indefix payloads were permanently attached to the third stage of Ariane 4","In orbit, Final flight of Ariane 4 42P. Both Indefix payloads were permanently attached to the third stage of Ariane 4","Operational, Final flight of Ariane 4 42P. Both Indefix payloads were permanently attached to the third stage of Ariane 4",Final flight,
4 May 09:54-2002,3002,Delta II 7920-10L,Aqua,NASA,Sun-synchronous (A-train),Environmental research,In orbit,Operational,,
7 May 17:00-2002,3004,Proton-K/Blok DM3,DirecTV-5,DirecTV,GEO,Communications,In orbit,Operational,,
15 May 01:50-2002,"3006, 3007",Long March 4B,"Hai Yang 1, Feng Yun 1D",CASC,LEO,"Earth observation, Weather satellite",In orbit,Operational,,
28 May 15:25-2002,3009,Shavit-1,Ofeq-5,,LEO (retrograde),Reconnaissance,21 February 2024,Operational,,
28 May 18:14-2002,3011,Kosmos-3M,Kosmos 2389 (Parus #93),,LEO,Navigation,In orbit,Operational,,
5 June 06:44-2002,3014,Ariane 4 44L,Intelsat 905,Intelsat,GEO,Communications,In orbit,Operational,,
5 June 21:22-2002,"3016, 3017, 3018, 3019",Space Shuttle Endeavour,"STS-111, Leonardo MPLM, Canadarm2 Mobile Base Structure, Crewed orbital flight with 7 astronauts ISS crew exchange (launched Expedition 5)","NASA, ASI / NASA, CSA / NASA, Crewed orbital flight with 7 astronauts ISS crew exchange (launched Expedition 5)","LEO (ISS), Crewed orbital flight with 7 astronauts ISS crew exchange (launched Expedition 5)","ISS assembly, ISS logistics, ISS component, Crewed orbital flight with 7 astronauts ISS crew exchange (launched Expedition 5)","19 June, In orbit, Crewed orbital flight with 7 astronauts ISS crew exchange (launched Expedition 5)","Successful, Operational, Crewed orbital flight with 7 astronauts ISS crew exchange (launched Expedition 5)",,
10 June 01:14-2002,"3021, 3022",Proton-K / DM-2M,"Ekspress A4 (A1R), Guidance error during ascent, recovered and placed in correct orbit using upper stage. Decommissioned in early 2020 after seventeen years in service.[8]","RSCC, Guidance error during ascent, recovered and placed in correct orbit using upper stage. Decommissioned in early 2020 after seventeen years in service.[8]","GEO, Guidance error during ascent, recovered and placed in correct orbit using upper stage. Decommissioned in early 2020 after seventeen years in service.[8]","Communications, Guidance error during ascent, recovered and placed in correct orbit using upper stage. Decommissioned in early 2020 after seventeen years in service.[8]","In orbit, Guidance error during ascent, recovered and placed in correct orbit using upper stage. Decommissioned in early 2020 after seventeen years in service.[8]","Successful, Guidance error during ascent, recovered and placed in correct orbit using upper stage. Decommissioned in early 2020 after seventeen years in service.[8]",,
15 June 22:39-2002,3024,Zenit-3SL,Galaxy 3C,PanAmSat,GEO,Communications,In orbit,Operational,,
20 June 09:33-2002,"3026, 3027",Rockot / Briz-KM,"Iridium 97, Iridium 98",Iridium,LEO,Communications,"27 December 2019 17:30[9], 24 August 2018[10]",Successful,,
24 June 18:23[12]-2002,"3029, 3030",Titan 23G,"NOAA-17 (NOAA-M), Decommissioned on 10 April 2013. Disintegrated in orbit on 10 March 2021, with 16 associated pieces of space debris being tracked.[11]","NOAA, Decommissioned on 10 April 2013. Disintegrated in orbit on 10 March 2021, with 16 associated pieces of space debris being tracked.[11]","LEO (SSO), Decommissioned on 10 April 2013. Disintegrated in orbit on 10 March 2021, with 16 associated pieces of space debris being tracked.[11]","Meteorology, Decommissioned on 10 April 2013. Disintegrated in orbit on 10 March 2021, with 16 associated pieces of space debris being tracked.[11]","In orbit, Decommissioned on 10 April 2013. Disintegrated in orbit on 10 March 2021, with 16 associated pieces of space debris being tracked.[11]","Successful, Decommissioned on 10 April 2013. Disintegrated in orbit on 10 March 2021, with 16 associated pieces of space debris being tracked.[11]",,
26 June 05:36-2002,"3032, 3033",Soyuz-U,"Progress M-46, ISS flight 8P","Roscosmos, ISS flight 8P","LEO (ISS), ISS flight 8P","ISS logistics, ISS flight 8P","14 October, ISS flight 8P","Successful, ISS flight 8P",,
3 July 06:47-2002,"3036, 3037",Delta II 7425-9.5,"CONTOUR, Exploded during injection into Heliocentric orbit Intended to visit comet 2P/Encke","NASA, Exploded during injection into Heliocentric orbit Intended to visit comet 2P/Encke","Intended: Heliocentric, Exploded during injection into Heliocentric orbit Intended to visit comet 2P/Encke","Comet probe, Exploded during injection into Heliocentric orbit Intended to visit comet 2P/Encke","In orbit, Exploded during injection into Heliocentric orbit Intended to visit comet 2P/Encke","Spacecraft failure, Exploded during injection into Heliocentric orbit Intended to visit comet 2P/Encke",,
5 July 23:22-2002,"3039, 3040",Ariane 5G,"Stellat 5, N-STAR c",Stellat,GEO,Communications,In orbit,Operational,,
8 July 06:35-2002,"3042, 3043",Kosmos-3M,"Kosmos 2390 (Strela-3 #131), Kosmos 2391 (Strela-3 #132)",,LEO,Communications,In orbit,Operational,,
25 July 15:13-2002,3045,Proton-K/Blok DM-5 (17S40),Kosmos 2392 (Araks-N #2),,LEO,Reconnaissance,In orbit,Successful,,
21 August 22:05-2002,3048,Atlas V 401,Hot Bird 6,Eutelsat,GEO,Communications,In orbit,Operational,,
22 August 05:15-2002,3051,Proton-K/DM-2M,Echostar 8,Echostar,GEO,Communications,In orbit,Operational,,
28 August 22:45-2002,"3053, 3054",Ariane 5G,"Atlantic Bird 1, Meteosat 8","Eutelsat, Eumetsat",GEO,"Communications, Weather satellite",In orbit,Operational,,
6 September 06:44-2002,3057,Ariane 4 44L,Intelsat 906,Intelsat,GEO,Communications,In orbit,Operational,,
10 September 08:20-2002,"3059, 3060",H-IIA 2024,"USERS, DRTS","JAXA, NASDA","LEO, GEO","Microgravity experiments, Communications","15 June 2007 19:56, In orbit",Successful,,
12 September 10:23-2002,3062,PSLV-C,Kalpana-1 (METSAT 1),ISRO,GEO,Weather satellite,In orbit,Operational,,
15 September 10:30-2002,3064,Kaituozhe-1,HTSTL-1,Tsinghua University,Intended: LEO,Experimental,15 September,Launch failure,,
18 September 22:04-2002,3067,Atlas IIAS,Hispasat 1D,Hispasat,GEO,Communications,In orbit,Operational,,
25 September 16:58-2002,"3069, 3070",Soyuz-FG,"Progress M1-9, ISS flight 9P","Roskosmos, ISS flight 9P","LEO (ISS), ISS flight 9P","Logistics, ISS flight 9P","1 February 2003, ISS flight 9P","Successful, ISS flight 9P",,
26 September 14:27-2002,3072,Kosmos-3M,Nadezhda-M,VKS,LEO,Navigation,In orbit,Operational,,
7 October 10:46-2002,"3075, 3076, 3077, 3078",Space Shuttle Atlantis,"STS-112, S1 Truss, CETA, Crewed orbital flight with 6 astronauts","NASA, Crewed orbital flight with 6 astronauts","LEO (ISS), Crewed orbital flight with 6 astronauts","ISS assembly, ISS component, Crewed orbital flight with 6 astronauts","18 October, In orbit, Crewed orbital flight with 6 astronauts","Successful, Operational, Crewed orbital flight with 6 astronauts",,
15 October 18:20-2002,"3080, 3081",Soyuz-U,"Foton-M1, LRB exploded","ESA, LRB exploded","Intended: LEO, LRB exploded","Microgravity experiments, LRB exploded","T+29 seconds, LRB exploded","Launch failure, LRB exploded",,
17 October 04:41-2002,3083,Proton-K/Blok DM-2,INTEGRAL,ESA,High Earth (High eccentricity),Astrophysics,In orbit,Operational,,
27 October 03:17-2002,3085,Long March 4B,Ziyuan II-02,CAST,Sun-synchronous,Earth observation Reconnaissance (alleged),22 January 2015,Successful,,
30 October 03:11-2002,3087,Soyuz-FG,Soyuz TMA-1,Roskosmos,LEO (ISS),ISS escape craft,4 May 2003,Successful,,
20 November 22:39-2002,3091,"Delta IV-M+ (4,2) (9240)",Eutelsat W5,Eutelsat,GEO,Communications,In orbit,Operational,,
24 November 00:49-2002,"3094, 3095, 3096, 3097",Space Shuttle Endeavour,"STS-113, P1 Truss, MEPSI, Crewed orbital flight with 7 astronauts ISS crew exchange (launched Expedition 6) MEPSI is 2 picosatellites connected by a 15 meter tether","NASA, Crewed orbital flight with 7 astronauts ISS crew exchange (launched Expedition 6) MEPSI is 2 picosatellites connected by a 15 meter tether","LEO (ISS), LEO, Crewed orbital flight with 7 astronauts ISS crew exchange (launched Expedition 6) MEPSI is 2 picosatellites connected by a 15 meter tether","ISS assembly, ISS component, Technology demonstration, Crewed orbital flight with 7 astronauts ISS crew exchange (launched Expedition 6) MEPSI is 2 picosatellites connected by a 15 meter tether","7 December, In orbit, 31 January 2003, Crewed orbital flight with 7 astronauts ISS crew exchange (launched Expedition 6) MEPSI is 2 picosatellites connected by a 15 meter tether","Successful, Operational, Crewed orbital flight with 7 astronauts ISS crew exchange (launched Expedition 6) MEPSI is 2 picosatellites connected by a 15 meter tether",,
25 November 23:04-2002,"3099, 3100",Proton-K/DM-2M,"Astra 1K, Upper stage malfunction resulted in satellite being placed into an unusable parking orbit. Intentionally de-orbited.","SES Astra, Upper stage malfunction resulted in satellite being placed into an unusable parking orbit. Intentionally de-orbited.","Intended: GEO Attained: LEO, Upper stage malfunction resulted in satellite being placed into an unusable parking orbit. Intentionally de-orbited.","Communications, Upper stage malfunction resulted in satellite being placed into an unusable parking orbit. Intentionally de-orbited.","10 December, Upper stage malfunction resulted in satellite being placed into an unusable parking orbit. Intentionally de-orbited.","Launch failure, Upper stage malfunction resulted in satellite being placed into an unusable parking orbit. Intentionally de-orbited.",,
28 November 06:07-2002,"3102, 3103, 3104, 3105",Kosmos-3M,"AlSat-1, Mozhayets-3, Rubin-3-DSI, AlSat was first Algerian satellite, Rubin intentionally remained attached to upper stage","CNTS, Mozhaisky, OHB System, AlSat was first Algerian satellite, Rubin intentionally remained attached to upper stage","LEO, AlSat was first Algerian satellite, Rubin intentionally remained attached to upper stage","Disaster monitoring, Technology demonstration, Measure carrier rocket performance, AlSat was first Algerian satellite, Rubin intentionally remained attached to upper stage","In orbit, AlSat was first Algerian satellite, Rubin intentionally remained attached to upper stage","Operational, Successful, AlSat was first Algerian satellite, Rubin intentionally remained attached to upper stage",,
5 December 02:42-2002,"3108, 3109",Atlas IIA,"TDRS-10 (TDRS-J), ","NASA, Final flight of Atlas IIA","GEO, Final flight of Atlas IIA","Communications, Final flight of Atlas IIA","In orbit, Final flight of Atlas IIA","Operational, Final flight of Atlas IIA",Final flight,
11 December 22:22-2002,"3111, 3112",Ariane 5ECA,"Hot Bird 7, Stentor",Eutelsat,Intended: GEO,Communications,T+178 seconds,Launch failure,,
