Rocket,Payload,Operator,Orbit,Function,Decay,FlightNumberInfo,LaunchSite,Success,Rocket_ID,Year,Month,DayOfWeek,Hour
Atlas IIAS,Intelsat 805,Intelsat,GEO,Communications,In orbit,,,1,40,1998.0,6.0,3.0,22.0
Soyuz-U,Kosmos 2358 (Yantar),MO RF,LEO,Reconnaissance,22 October,,,1,288,1998.0,6.0,2.0,18.0
Soyuz-U,Kosmos 2359 (Yantar),MO RF,LEO,Reconnaissance,12 July 1999,,,1,288,1998.0,6.0,3.0,14.0
Molniya-M,Molniya 3–49,MOM,Molniya,Communications,2 February 2011,,,1,192,1998.0,7.0,2.0,0.0
M-V,Nozomi (PLANET-B),ISAS,Intended: Areocentric Actual: Heliocentric,Mars orbiter,In orbit,,,0,184,1998.0,7.0,4.0,18.0
M-V,Gravity assist produced less velocity than expected,Gravity assist produced less velocity than expected,Gravity assist produced less velocity than expected,Gravity assist produced less velocity than expected,Gravity assist produced less velocity than expected,,,0,184,1998.0,7.0,4.0,18.0
M-V,spacecraft ran out of fuel trying to compensate,spacecraft ran out of fuel trying to compensate,spacecraft ran out of fuel trying to compensate,spacecraft ran out of fuel trying to compensate,spacecraft ran out of fuel trying to compensate,,,0,184,1998.0,7.0,4.0,18.0
Shtil',Tubsat-N,TUB,LEO,Communications,23 April 2002,,,1,267,1998.0,7.0,1.0,3.0
Shtil',Tubsat-N1,Makeev,LEO,Measure carrier rocket performance,21 October 2000,,,1,267,1998.0,7.0,1.0,3.0
Shtil',Shtil 1,Makeev,LEO,Measure carrier rocket performance,8 May 2014,,,1,267,1998.0,7.0,1.0,3.0
Zenit-2,Resurs-O1 4,FACh,LEO,Remote sensing,In orbit,,,1,349,1998.0,7.0,4.0,6.0
Zenit-2,Fasat-Bravo,Technion,Fasat-Bravo is the first successful Chilean satellite,Communications,Fasat-Bravo is the first successful Chilean satellite,,,0,349,1998.0,7.0,4.0,6.0
Zenit-2,TMSAT,WPLTN,Fasat-Bravo is the first successful Chilean satellite,Technology development,Fasat-Bravo is the first successful Chilean satellite,,,0,349,1998.0,7.0,4.0,6.0
Zenit-2,Gurwin Techsat 1B,DLR,Fasat-Bravo is the first successful Chilean satellite,Laser tracking,Fasat-Bravo is the first successful Chilean satellite,,,0,349,1998.0,7.0,4.0,6.0
Zenit-2,WESTPAC,Fasat-Bravo is the first successful Chilean satellite,Fasat-Bravo is the first successful Chilean satellite,Fasat-Bravo is the first successful Chilean satellite,Fasat-Bravo is the first successful Chilean satellite,,,0,349,1998.0,7.0,4.0,6.0
Zenit-2,SAFIR-2,Fasat-Bravo is the first successful Chilean satellite,Fasat-Bravo is the first successful Chilean satellite,Fasat-Bravo is the first successful Chilean satellite,Fasat-Bravo is the first successful Chilean satellite,,,0,349,1998.0,7.0,4.0,6.0
Zenit-2,Fasat-Bravo is the first successful Chilean satellite,Fasat-Bravo is the first successful Chilean satellite,Fasat-Bravo is the first successful Chilean satellite,Fasat-Bravo is the first successful Chilean satellite,Fasat-Bravo is the first successful Chilean satellite,,,0,349,1998.0,7.0,4.0,6.0
Long March 3B,Sinosat-1,SinoSat,GEO,Communications,In orbit,,,1,162,1998.0,7.0,5.0,9.0
Zenit-2,Kosmos 2360 (Tselina-2),MO RF,LEO,SIGINT,In orbit,,,1,349,1998.0,7.0,1.0,9.0
Pegasus-XL/HAPS,Orbcomm B5,Orbcomm,LEO,Communications,In orbit,,,1,211,1998.0,8.0,6.0,16.0
Pegasus-XL/HAPS,Orbcomm B6,The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],22 December 2018 07:12,,,1,211,1998.0,8.0,6.0,16.0
Pegasus-XL/HAPS,Orbcomm B7,The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],,,0,211,1998.0,8.0,6.0,16.0
Pegasus-XL/HAPS,Orbcomm B8,The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],,,0,211,1998.0,8.0,6.0,16.0
Pegasus-XL/HAPS,Orbcomm B4,The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],,,0,211,1998.0,8.0,6.0,16.0
Pegasus-XL/HAPS,Orbcomm B3,The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],,,0,211,1998.0,8.0,6.0,16.0
Pegasus-XL/HAPS,Orbcomm B2,The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],,,0,211,1998.0,8.0,6.0,16.0
Pegasus-XL/HAPS,Orbcomm B1,The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],,,0,211,1998.0,8.0,6.0,16.0
Pegasus-XL/HAPS,The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],The decommissioned Orbcomm B4 satellite disintegrated into 34 pieces in 2018; the cause is under investigation as of January 2019[21],,,0,211,1998.0,8.0,6.0,16.0
Titan IVA 401/Centaur,Mercury-3,Final flight of Titan IVA Control lost after guidance system malfunction; Range Safety self-destruct,Intended: GEO,ELINT,12 August T+40 seconds,Final flight,,0,333,1998.0,8.0,2.0,11.0
Titan IVA 401/Centaur,,Final flight of Titan IVA Control lost after guidance system malfunction; Range Safety self-destruct,Final flight of Titan IVA Control lost after guidance system malfunction; Range Safety self-destruct,Final flight of Titan IVA Control lost after guidance system malfunction; Range Safety self-destruct,Final flight of Titan IVA Control lost after guidance system malfunction; Range Safety self-destruct,Final flight,,0,333,1998.0,8.0,2.0,11.0
Soyuz-U,Soyuz TM-28,Roskosmos,LEO (Mir),Mir EO-26,28 February 1999 02:14,,,1,288,1998.0,8.0,3.0,9.0
Soyuz-U,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,,,0,288,1998.0,8.0,3.0,9.0
Long March 2C,Iridium 3,Iridium,LEO,Communications,8 February 2018[22],,,1,151,1998.0,8.0,2.0,23.0
Long March 2C,Iridium 76,Iridium,LEO,Communications,28 August 2018[23],,,1,151,1998.0,8.0,2.0,23.0
Ariane 4 44P,ST-1,Singapore Telecom/Chunghwa Telecom,GEO,Communications,In orbit,,,1,18,1998.0,8.0,1.0,23.0
Delta III 8930,Galaxy 10,PanAmSat,Intended: GEO,Communications,27 August T+75 seconds,,,0,95,1998.0,8.0,3.0,1.0
Proton-K/DM-2M,Astra 2A,SES,GEO,Communications,In orbit,,,1,231,1998.0,8.0,6.0,0.0
Paektusan-1,Kwangmyŏngsŏng-1,KCST,Intended: LEO,Communications,31 August,,,0,207,1998.0,8.0,0.0,3.0
Paektusan-1,First North Korean orbital launch attempt,First North Korean orbital launch attempt,First North Korean orbital launch attempt,First North Korean orbital launch attempt,First North Korean orbital launch attempt,,,0,207,1998.0,8.0,0.0,3.0
Paektusan-1,never achieved orbit due to a suspected third stage failure. North Korea considered the launch as successful.,never achieved orbit due to a suspected third stage failure. North Korea considered the launch as successful.,never achieved orbit due to a suspected third stage failure. North Korea considered the launch as successful.,never achieved orbit due to a suspected third stage failure. North Korea considered the launch as successful.,never achieved orbit due to a suspected third stage failure. North Korea considered the launch as successful.,,,0,207,1998.0,8.0,0.0,3.0
Delta II 7920-10C,Iridium 82,Iridium,LEO,Communications,In orbit,,,1,83,1998.0,9.0,1.0,21.0
Delta II 7920-10C,Iridium 81,Iridium,LEO,Communications,17 July 2018[24],,,1,83,1998.0,9.0,1.0,21.0
Delta II 7920-10C,Iridium 80,Iridium,LEO,Communications,12 August 2018[25],,,0,83,1998.0,9.0,1.0,21.0
Delta II 7920-10C,Iridium 79,Iridium,LEO,Communications,29 November 2000,,,0,83,1998.0,9.0,1.0,21.0
Delta II 7920-10C,Iridium 77,Iridium,LEO,Communications,22 September 2017[26],,,0,83,1998.0,9.0,1.0,21.0
Zenit-2,Globalstar 5,Globalstar,Intended: LEO,Communications,9 September,,,0,349,1998.0,9.0,2.0,20.0
Zenit-2,Globalstar 7,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,,,0,349,1998.0,9.0,2.0,20.0
Zenit-2,Globalstar 9,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,,,0,349,1998.0,9.0,2.0,20.0
Zenit-2,Globalstar 10,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,,,0,349,1998.0,9.0,2.0,20.0
Zenit-2,Globalstar 11,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,,,0,349,1998.0,9.0,2.0,20.0
Zenit-2,Globalstar 12,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,,,0,349,1998.0,9.0,2.0,20.0
Zenit-2,Globalstar 13,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,,,0,349,1998.0,9.0,2.0,20.0
Zenit-2,Globalstar 16,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,,,0,349,1998.0,9.0,2.0,20.0
Zenit-2,Globalstar 17,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,,,0,349,1998.0,9.0,2.0,20.0
Zenit-2,Globalstar 18,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,,,0,349,1998.0,9.0,2.0,20.0
Zenit-2,Globalstar 20,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,,,0,349,1998.0,9.0,2.0,20.0
Zenit-2,Globalstar 21,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,,,0,349,1998.0,9.0,2.0,20.0
Zenit-2,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,Computer error caused premature second stage cutout,,,0,349,1998.0,9.0,2.0,20.0
Ariane 4 44LP,PanAmSat 7,PanAmSat,GEO,Communications,In orbit,,,1,17,1998.0,9.0,2.0,6.0
Pegasus-XL/HAPS,Orbcomm C1,Orbcomm,LEO,Communications,In orbit,,,1,211,1998.0,9.0,2.0,5.0
Pegasus-XL/HAPS,Orbcomm C2,Orbcomm,LEO,Communications,In orbit,,,1,211,1998.0,9.0,2.0,5.0
Pegasus-XL/HAPS,Orbcomm C3,Orbcomm,LEO,Communications,In orbit,,,1,211,1998.0,9.0,2.0,5.0
Pegasus-XL/HAPS,Orbcomm C4,Orbcomm,LEO,Communications,In orbit,,,1,211,1998.0,9.0,2.0,5.0
Pegasus-XL/HAPS,Orbcomm C5,Orbcomm,LEO,Communications,In orbit,,,1,211,1998.0,9.0,2.0,5.0
Pegasus-XL/HAPS,Orbcomm C6,Orbcomm,LEO,Communications,In orbit,,,1,211,1998.0,9.0,2.0,5.0
Pegasus-XL/HAPS,Orbcomm C7,Orbcomm,LEO,Communications,In orbit,,,1,211,1998.0,9.0,2.0,5.0
Pegasus-XL/HAPS,Orbcomm C8,Orbcomm,LEO,Communications,In orbit,,,1,211,1998.0,9.0,2.0,5.0
Molniya-M,Molniya-1T,MOM,Molniya,Communications,In orbit,,,1,192,1998.0,9.0,0.0,23.0
Taurus 1110,STEX,NRO,LEO,Technology research,In orbit,,,0,317,1998.0,10.0,5.0,10.0
Taurus 1110,USA-141 (ATeX),ATeX failed to deploy fully and was jettisoned from STEX on 16 January 1999 to protect the main spacecraft,ATeX failed to deploy fully and was jettisoned from STEX on 16 January 1999 to protect the main spacecraft,ATeX failed to deploy fully and was jettisoned from STEX on 16 January 1999 to protect the main spacecraft,ATeX failed to deploy fully and was jettisoned from STEX on 16 January 1999 to protect the main spacecraft,,,0,317,1998.0,10.0,5.0,10.0
Taurus 1110,ATeX failed to deploy fully and was jettisoned from STEX on 16 January 1999 to protect the main spacecraft,ATeX failed to deploy fully and was jettisoned from STEX on 16 January 1999 to protect the main spacecraft,ATeX failed to deploy fully and was jettisoned from STEX on 16 January 1999 to protect the main spacecraft,ATeX failed to deploy fully and was jettisoned from STEX on 16 January 1999 to protect the main spacecraft,ATeX failed to deploy fully and was jettisoned from STEX on 16 January 1999 to protect the main spacecraft,,,0,317,1998.0,10.0,5.0,10.0
Ariane 4 44L,Eutelsat W2,Eutelsat,GEO,Communications,In orbit,,,1,16,1998.0,10.0,0.0,22.0
Ariane 4 44L,Sirius 3,NSAB,GEO,Communications,In orbit,,,1,16,1998.0,10.0,0.0,22.0
Atlas IIA,Hot Bird 5,Eutelsat,GEO,Communications,In orbit,,,1,37,1998.0,10.0,4.0,22.0
Atlas IIA,USA-140 (UHF F/O F9),US Navy,GEO,Communications,In orbit,,,1,37,1998.0,10.0,1.0,7.0
Ariane 5G,Maqsat 3,ESA,GEO transfer,Monitor rocket performance,In orbit,,,1,25,1998.0,10.0,2.0,16.0
Ariane 5G,ARD,ARD recovered in Pacific Ocean by French Navy,Suborbital,Spacecraft recovery demonstration,21 October,,,0,25,1998.0,10.0,2.0,16.0
Ariane 5G,ARD recovered in Pacific Ocean by French Navy,ARD recovered in Pacific Ocean by French Navy,ARD recovered in Pacific Ocean by French Navy,ARD recovered in Pacific Ocean by French Navy,ARD recovered in Pacific Ocean by French Navy,,,0,25,1998.0,10.0,2.0,16.0
Pegasus-H,SCD-2,INPE,LEO,Communications,In orbit,,,1,209,1998.0,10.0,4.0,0.0
Delta II 7326-9.5,Deep Space 1,NASA,Heliocentric,Asteroid/Comet probe,In orbit,,,1,74,1998.0,10.0,5.0,21.0
Delta II 7326-9.5,SEDSAT-1,Alabama,LEO,Amateur radio,In orbit,,,1,74,1998.0,10.0,5.0,21.0
Soyuz-U,Progress M-40,Roskosmos,LEO (Mir),Logistics,5 February 1999 11:10,,,1,288,1998.0,10.0,6.0,4.0
Soyuz-U,Sputnik-41,ACF/AMSAT/RuAF,LEO,Amateur radio,11 January 1999,,,0,288,1998.0,10.0,6.0,4.0
Soyuz-U,Sputnik-41 deployed from Mir during an EVA on 10 November,Sputnik-41 deployed from Mir during an EVA on 10 November,Sputnik-41 deployed from Mir during an EVA on 10 November,Sputnik-41 deployed from Mir during an EVA on 10 November,Sputnik-41 deployed from Mir during an EVA on 10 November,,,0,288,1998.0,10.0,6.0,4.0
Ariane 4 44L,AfriStar,1worldspace,GEO,Communications,In orbit,,,1,16,1998.0,10.0,2.0,22.0
Ariane 4 44L,GE 5,GE Americom,GEO,Communications,In orbit,,,1,16,1998.0,10.0,2.0,22.0
Space Shuttle Discovery,STS-95,NASA,LEO,Microgravity research,7 November 17:03,,,1,300,1998.0,10.0,3.0,19.0
Space Shuttle Discovery,SpaceHab Single Module,NASA/SpaceHab,LEO (Discovery),Scientific research,In orbit,,,1,300,1998.0,10.0,3.0,19.0
Space Shuttle Discovery,SPARTAN-201,US Navy,Crewed orbital flight with seven astronauts including the first Spanish space traveller (Pedro Duque) and the oldest person to fly in space (John Glenn) PANSAT deployed on 30 October; SPARTAN deployed on 1 November and retrieved on 3 November,Solar observation,Crewed orbital flight with seven astronauts including the first Spanish space traveller (Pedro Duque) and the oldest person to fly in space (John Glenn) PANSAT deployed on 30 October; SPARTAN deployed on 1 November and retrieved on 3 November,,,0,300,1998.0,10.0,3.0,19.0
Space Shuttle Discovery,PANSAT (PO-34),Crewed orbital flight with seven astronauts including the first Spanish space traveller (Pedro Duque) and the oldest person to fly in space (John Glenn) PANSAT deployed on 30 October; SPARTAN deployed on 1 November and retrieved on 3 November,Crewed orbital flight with seven astronauts including the first Spanish space traveller (Pedro Duque) and the oldest person to fly in space (John Glenn) PANSAT deployed on 30 October; SPARTAN deployed on 1 November and retrieved on 3 November,Technology demonstration,Crewed orbital flight with seven astronauts including the first Spanish space traveller (Pedro Duque) and the oldest person to fly in space (John Glenn) PANSAT deployed on 30 October; SPARTAN deployed on 1 November and retrieved on 3 November,,,0,300,1998.0,10.0,3.0,19.0
Space Shuttle Discovery,Crewed orbital flight with seven astronauts including the first Spanish space traveller (Pedro Duque) and the oldest person to fly in space (John Glenn) PANSAT deployed on 30 October; SPARTAN deployed on 1 November and retrieved on 3 November,Crewed orbital flight with seven astronauts including the first Spanish space traveller (Pedro Duque) and the oldest person to fly in space (John Glenn) PANSAT deployed on 30 October; SPARTAN deployed on 1 November and retrieved on 3 November,Crewed orbital flight with seven astronauts including the first Spanish space traveller (Pedro Duque) and the oldest person to fly in space (John Glenn) PANSAT deployed on 30 October; SPARTAN deployed on 1 November and retrieved on 3 November,Crewed orbital flight with seven astronauts including the first Spanish space traveller (Pedro Duque) and the oldest person to fly in space (John Glenn) PANSAT deployed on 30 October; SPARTAN deployed on 1 November and retrieved on 3 November,Crewed orbital flight with seven astronauts including the first Spanish space traveller (Pedro Duque) and the oldest person to fly in space (John Glenn) PANSAT deployed on 30 October; SPARTAN deployed on 1 November and retrieved on 3 November,,,0,300,1998.0,10.0,3.0,19.0
Proton-K/DM-2M,PanAmSat 8,PanAmSat,GEO,Communications,In orbit,,,1,231,1998.0,11.0,2.0,5.0
Delta II 7920-10C,Iridium 2,Iridium,LEO,Communications,In orbit,,,0,83,1998.0,11.0,4.0,13.0
Delta II 7920-10C,Iridium 86,Iridium,LEO,Communications,5 October 2018[27],,,1,83,1998.0,11.0,4.0,13.0
Delta II 7920-10C,Iridium 85,Iridium,LEO,Communications,30 December 2000,,,1,83,1998.0,11.0,4.0,13.0
Delta II 7920-10C,Iridium 84,Iridium,LEO,Communications,4 November 2018[28],,,1,83,1998.0,11.0,4.0,13.0
Delta II 7920-10C,Iridium 83,Iridium,LEO,Communications,5 November 2018[29],,,1,83,1998.0,11.0,4.0,13.0
Proton-K,Zarya,NASA/Roskosmos,LEO (ISS),ISS module,In orbit,,,1,214,1998.0,11.0,4.0,5.0
Proton-K,First launch of the International Space Station programme,First launch of the International Space Station programme,First launch of the International Space Station programme,First launch of the International Space Station programme,First launch of the International Space Station programme,,,0,214,1998.0,11.0,4.0,5.0
Delta II 7925-9.5,BONUM-1,Telenor,GEO,Communications,In orbit,,,1,93,1998.0,11.0,6.0,23.0
Space Shuttle Endeavour,STS-88,NASA,LEO (ISS),ISS assembly,16 December 04:53,,,1,305,1998.0,12.0,4.0,8.0
Space Shuttle Endeavour,Unity (Node 1),CONAE,LEO,ISS module,In orbit,,,1,305,1998.0,12.0,4.0,8.0
Space Shuttle Endeavour,PMA-1,US Air Force,Crewed orbital flight with six astronauts First crewed flight to the International Space Station SAC-A deployed on 14 December and MightySat on 15 December,ISS component,25 October 1999,,,0,305,1998.0,12.0,4.0,8.0
Space Shuttle Endeavour,PMA-2,Crewed orbital flight with six astronauts First crewed flight to the International Space Station SAC-A deployed on 14 December and MightySat on 15 December,Crewed orbital flight with six astronauts First crewed flight to the International Space Station SAC-A deployed on 14 December and MightySat on 15 December,Technology demonstration,21 November 1999,,,0,305,1998.0,12.0,4.0,8.0
Space Shuttle Endeavour,SAC-A,Crewed orbital flight with six astronauts First crewed flight to the International Space Station SAC-A deployed on 14 December and MightySat on 15 December,Crewed orbital flight with six astronauts First crewed flight to the International Space Station SAC-A deployed on 14 December and MightySat on 15 December,Crewed orbital flight with six astronauts First crewed flight to the International Space Station SAC-A deployed on 14 December and MightySat on 15 December,Crewed orbital flight with six astronauts First crewed flight to the International Space Station SAC-A deployed on 14 December and MightySat on 15 December,,,0,305,1998.0,12.0,4.0,8.0
Space Shuttle Endeavour,MightySat 1,Crewed orbital flight with six astronauts First crewed flight to the International Space Station SAC-A deployed on 14 December and MightySat on 15 December,Crewed orbital flight with six astronauts First crewed flight to the International Space Station SAC-A deployed on 14 December and MightySat on 15 December,Crewed orbital flight with six astronauts First crewed flight to the International Space Station SAC-A deployed on 14 December and MightySat on 15 December,Crewed orbital flight with six astronauts First crewed flight to the International Space Station SAC-A deployed on 14 December and MightySat on 15 December,,,0,305,1998.0,12.0,4.0,8.0
Space Shuttle Endeavour,Crewed orbital flight with six astronauts First crewed flight to the International Space Station SAC-A deployed on 14 December and MightySat on 15 December,Crewed orbital flight with six astronauts First crewed flight to the International Space Station SAC-A deployed on 14 December and MightySat on 15 December,Crewed orbital flight with six astronauts First crewed flight to the International Space Station SAC-A deployed on 14 December and MightySat on 15 December,Crewed orbital flight with six astronauts First crewed flight to the International Space Station SAC-A deployed on 14 December and MightySat on 15 December,Crewed orbital flight with six astronauts First crewed flight to the International Space Station SAC-A deployed on 14 December and MightySat on 15 December,,,0,305,1998.0,12.0,4.0,8.0
Ariane 4 42L,Satmex 5,Satmex,GEO,Communications,In orbit,,,1,14,1998.0,12.0,6.0,0.0
Pegasus-XL,SWAS,NASA,LEO,Astronomy,In orbit,,,1,210,1998.0,12.0,6.0,0.0
Kosmos-3M,Nadezhda 5,MO RF,LEO,Navigation,In orbit,,,1,141,1998.0,12.0,3.0,11.0
Kosmos-3M,Astrid-2,SSC,LEO,Aurora research,In orbit,,,1,141,1998.0,12.0,3.0,11.0
Delta II 7425-9.5,Mars Climate Orbiter,NASA,Intended: Areocentric Actual: Heliocentric,Mars orbiter,23 September 1999,,,0,79,1998.0,12.0,4.0,18.0
Long March 2C,Iridium 20,Iridium,LEO,Communications,22 October 2018[30],,,1,151,1998.0,12.0,5.0,11.0
Long March 2C,Iridium 11,Iridium,LEO,Communications,22 October 2018[31],,,1,151,1998.0,12.0,5.0,11.0
Ariane 4 42L,PAS-6B,PanAmSat,GEO,Communications,In orbit,,,1,14,1998.0,12.0,1.0,1.0
Kosmos-3M,Kosmos 2361 (Parus),MO RF,LEO,Navigation,In orbit,,,1,141,1998.0,12.0,3.0,20.0
Proton-K/DM-2,Kosmos 2362 (GLONASS),MOM,MEO,Navigation,In orbit,,,1,230,1998.0,12.0,2.0,18.0
Proton-K/DM-2,Kosmos 2363 (GLONASS),MOM,MEO,Navigation,In orbit,,,1,230,1998.0,12.0,2.0,18.0
Proton-K/DM-2,Kosmos 2364 (GLONASS),MOM,MEO,Navigation,In orbit,,,1,230,1998.0,12.0,2.0,18.0
Delta II 7425-9.5,Mars Polar Lander,NASA,Heliocentric,Mars lander,3 December ~20:01,,,0,79,1999.0,1.0,6.0,20.0
Delta II 7425-9.5,Scott (Microprobe/Penetrator 1),Contact lost at 20:02 UTC on 3 December 1999[4],Contact lost at 20:02 UTC on 3 December 1999[4],Contact lost at 20:02 UTC on 3 December 1999[4],Contact lost at 20:02 UTC on 3 December 1999[4],,,0,79,1999.0,1.0,6.0,20.0
Delta II 7425-9.5,Amundsen (Microprobe/Penetrator 2),Contact lost at 20:02 UTC on 3 December 1999[4],Contact lost at 20:02 UTC on 3 December 1999[4],Contact lost at 20:02 UTC on 3 December 1999[4],Contact lost at 20:02 UTC on 3 December 1999[4],,,0,79,1999.0,1.0,6.0,20.0
Delta II 7425-9.5,Contact lost at 20:02 UTC on 3 December 1999[4],Contact lost at 20:02 UTC on 3 December 1999[4],Contact lost at 20:02 UTC on 3 December 1999[4],Contact lost at 20:02 UTC on 3 December 1999[4],Contact lost at 20:02 UTC on 3 December 1999[4],,,0,79,1999.0,1.0,6.0,20.0
Athena I,ROCSAT-1,NSPO,LEO,Imagery/Communications,In orbit,,,1,30,1999.0,1.0,2.0,0.0
Athena I,First Taiwanese satellite,First Taiwanese satellite,First Taiwanese satellite,First Taiwanese satellite,First Taiwanese satellite,,,0,30,1999.0,1.0,2.0,0.0
Delta II 7426-9.5,Stardust,NASA,Heliocentric,Comet sample return,In orbit,,,1,80,1999.0,2.0,6.0,21.0
Delta II 7426-9.5,Stardust return capsule,NASA,Heliocentric,Comet sample return,16 January 2006,,,1,80,1999.0,2.0,6.0,21.0
Soyuz-U/Ikar,Globalstar 23,Globalstar,LEO,Communications,In orbit,,,1,291,1999.0,2.0,1.0,3.0
Soyuz-U/Ikar,Globalstar 40,First launch contracted by Starsem,First launch contracted by Starsem,First launch contracted by Starsem,First launch contracted by Starsem,,,0,291,1999.0,2.0,1.0,3.0
Soyuz-U/Ikar,Globalstar 36,First launch contracted by Starsem,First launch contracted by Starsem,First launch contracted by Starsem,First launch contracted by Starsem,,,0,291,1999.0,2.0,1.0,3.0
Soyuz-U/Ikar,Globalstar 38,First launch contracted by Starsem,First launch contracted by Starsem,First launch contracted by Starsem,First launch contracted by Starsem,,,0,291,1999.0,2.0,1.0,3.0
Soyuz-U/Ikar,First launch contracted by Starsem,First launch contracted by Starsem,First launch contracted by Starsem,First launch contracted by Starsem,First launch contracted by Starsem,,,0,291,1999.0,2.0,1.0,3.0
Proton-K/DM-2M,Telstar 6,Telstar,GEO,Communications,In orbit,,,1,231,1999.0,2.0,0.0,5.0
Atlas IIAS,JCSAT-6,JSAT,GEO,Communications,In orbit,,,1,40,1999.0,2.0,1.0,1.0
Soyuz-U,Soyuz TM-29,Roskosmos,LEO (Mir),Mir EO-27,28 August 00:34,,,1,288,1999.0,2.0,5.0,4.0
