DateTime,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,Year
,Ariane 5G,Astra 2D,SES,Geosynchronous,Communications,In orbit,Operational,2000
,Ariane 5G,GE 8,GE Americom,Geosynchronous,Communications,In orbit,Operational,2000
,Ariane 5G,LDREX,NASDA,Geostationary transfer,Technology development,21 March 2010 03:40[30],Failure,2000
,Ariane 5G,LDREX failed to deploy,LDREX failed to deploy,LDREX failed to deploy,LDREX failed to deploy,LDREX failed to deploy,LDREX failed to deploy,2000
,Long March 3A,Beidou 1B,CNSA,Geosynchronous,Navigation,In orbit,Operational,2000
,Tsyklon-3,Gonets-D1,Rosaviakosmos,Intended: Low Earth,Communications,27 December,Launch Failure,2000
,Tsyklon-3,Gonets-D1,Rosaviakosmos,Intended: Low Earth,Communications,27 December,Launch Failure,2000
,Tsyklon-3,Gonets-D1,Rosaviakosmos,Intended: Low Earth,Communications,27 December,Launch Failure,2000
,Tsyklon-3,Third stage malfunction,Third stage malfunction,Third stage malfunction,Third stage malfunction,Third stage malfunction,Third stage malfunction,2000
,Long March 2F,Shenzhou 2,CMSA,Low Earth,Test spacecraft,16 January 11:22,Successful,2001
,Long March 2F,Shenzhou spacecraft orbital module,CMSA,Low Earth,Test spacecraft,24 August 09:05,Successful,2001
,Ariane 4 44P,Türksat 2A,Eurasiasat SAM,Geosynchronous,Communications,In orbit,Operational,2001
,Soyuz-U,Progress M1-5,Roskosmos,Low Earth (Mir),Deorbit Mir,23 March 05:50,Successful,2001
,Soyuz-U,Final spacecraft to dock with the Mir space station. Remained docked during re-entry.,Final spacecraft to dock with the Mir space station. Remained docked during re-entry.,Final spacecraft to dock with the Mir space station. Remained docked during re-entry.,Final spacecraft to dock with the Mir space station. Remained docked during re-entry.,Final spacecraft to dock with the Mir space station. Remained docked during re-entry.,Final spacecraft to dock with the Mir space station. Remained docked during re-entry.,2001
,Delta II 7925-9.5,GPS IIR-7 (USA-156),US Air Force,Medium Earth,Navigation,In orbit,Operational,2001
,Ariane 4 44L,Skynet 4F,MoD (UK),Geostationary,Communications,In orbit,Operational,2001
,Ariane 4 44L,Skynet 4F is the final ECS-class satellite.,Skynet 4F is the final ECS-class satellite.,Skynet 4F is the final ECS-class satellite.,Skynet 4F is the final ECS-class satellite.,Skynet 4F is the final ECS-class satellite.,Skynet 4F is the final ECS-class satellite.,2001
,Space Shuttle Atlantis,STS-98,NASA,Low Earth (ISS),ISS assembly,20 February 20:33,Successful,2001
,Space Shuttle Atlantis,Destiny,NASA,Low Earth (ISS),ISS component,In orbit,Operational,2001
,Start-1,Odin,SSC,Low Earth,Infrared astronomy,In orbit,Operational,2001
,Soyuz-U,Progress M-44,Roskosmos,Low Earth (ISS),Logistics,16 April 13:23,Successful,2001
,Soyuz-U,ISS flight 3P,ISS flight 3P,ISS flight 3P,ISS flight 3P,ISS flight 3P,ISS flight 3P,2001
,Titan IVB (401)/Centaur,Milstar 2 (USA-157),US Air Force,Geosynchronous,Communications,In orbit,Operational,2001
,Space Shuttle Discovery,STS-102,NASA,Low Earth (ISS),ISS assembly,21 March 07:31,Successful,2001
,Space Shuttle Discovery,Leonardo MPLM,ASI/NASA,Low Earth (ISS),Logistics,21 March 07:31,Successful,2001
,Ariane 5G,Eurobird,Eutelsat,Geosynchronous,Communications,In orbit,Operational,2001
,Ariane 5G,BSAT-2A,BSAT,Geosynchronous,Communications,In orbit,Operational,2001
,Zenit-3SL,"XM-2 ""Rock""",XM Satellite Radio,Geosynchronous,Communications,In orbit,Partial satellite failure,2001
,Zenit-3SL,"Design fault with solar panels led to shorter operational life, deactivated November 2006","Design fault with solar panels led to shorter operational life, deactivated November 2006","Design fault with solar panels led to shorter operational life, deactivated November 2006","Design fault with solar panels led to shorter operational life, deactivated November 2006","Design fault with solar panels led to shorter operational life, deactivated November 2006","Design fault with solar panels led to shorter operational life, deactivated November 2006",2001
,Proton-M/Briz-M,Ekran-M 18,GPKS,Geosynchronous,Communications,In orbit,Operational,2001
,Delta II 7925-9.5,2001 Mars Odyssey,NASA,Areocentric,Mars orbiter,In orbit,Operational,2001
,GSLV,GSAT-1,ISRO,Geosynchronous,Communications,In orbit,Failure,2001
,Space Shuttle Endeavour,STS-100,NASA,Low Earth (ISS),ISS assembly,1 May 16:10,Successful,2001
,Space Shuttle Endeavour,Raffaello MPLM,ASI/NASA,Low Earth (ISS),Logistics,1 May 16:10,Successful,2001
,Space Shuttle Endeavour,Canadarm2,NASA,Low Earth (ISS),ISS component,In orbit,Operational,2001
,Soyuz-U,Soyuz TM-32,Roskosmos,Low Earth (ISS),ISS escape craft,31 October,Successful,2001
,Zenit-3SL,"XM-1 ""Roll""",XM Satellite Radio,Geosynchronous,Communications,In orbit,Partial satellite failure,2001
,Zenit-3SL,"Design fault with solar panels led to shorter operational life, deactivated November 2006","Design fault with solar panels led to shorter operational life, deactivated November 2006","Design fault with solar panels led to shorter operational life, deactivated November 2006","Design fault with solar panels led to shorter operational life, deactivated November 2006","Design fault with solar panels led to shorter operational life, deactivated November 2006","Design fault with solar panels led to shorter operational life, deactivated November 2006",2001
,Proton-K/DM-2M,Panamsat 10,PanAmSat,Geosynchronous,Communications,In orbit,Operational,2001
,Delta II 7925-9.5,GeoLITE (USA-158),NRO,Geostationary,Experimental communications,In orbit,Operational,2001
,Delta II 7925-9.5,NROL-17 Mission.,NROL-17 Mission.,NROL-17 Mission.,NROL-17 Mission.,NROL-17 Mission.,NROL-17 Mission.,2001
,Soyuz-FG,Progress M1-6,Roskosmos,Low Earth (ISS),Logistics,22 August,Successful,2001
,Soyuz-U,Kosmos 2377,MO RF,Low Earth,Reconnaissance,10 October,Successful,2001
,Kosmos-3M,Kosmos 2378,MO RF,Low Earth,Navigation,In orbit,Operational,2001
,Ariane 4 44L,Intelsat 901,Intelsat,Geosynchronous,Communications,In orbit,Operational,2001
,Proton-K/DM-2M,Astra 2C,SES Astra,Geosynchronous,Communications,In orbit,Operational,2001
,Atlas IIAS,ICO F2,ICO,Medium Earth,Communications,In orbit,Operational,2001
,Delta II 7425-10,WMAP,NASA,Earth-Sun L2 Lagrange Point,Astronomy,In orbit,Successful,2001
,Delta II 7425-10,"Ceased operations on 20 August 2010, subsequently manoeuvred into heliocentric orbit on 8 September","Ceased operations on 20 August 2010, subsequently manoeuvred into heliocentric orbit on 8 September[2]","Ceased operations on 20 August 2010, subsequently manoeuvred into heliocentric orbit on 8 September[2]","Ceased operations on 20 August 2010, subsequently manoeuvred into heliocentric orbit on 8 September[2]","Ceased operations on 20 August 2010, subsequently manoeuvred into heliocentric orbit on 8 September[2]","Ceased operations on 20 August 2010, subsequently manoeuvred into heliocentric orbit on 8 September",2001
,Space Shuttle Atlantis,STS-104,NASA,Low Earth (ISS),ISS assembly,25 July 03:38,Successful,2001
,Space Shuttle Atlantis,Quest,NASA,Low Earth,ISS component,In orbit,Operational,2001
,Ariane 5G,Artemis,ESA,Geosynchronous,Navigation,In orbit,Partial launch failure Operational,2001
,Ariane 5G,BSAT-2B,BSAT,Intended: Geosynchronous Achieved: Medium Earth,Communications,28 January 2014,Launch failure,2001
,Ariane 5G,"Premature cutoff of 2nd stage. Artemis reached correct orbit under own power, BSAT abandoned in useless orbit","Premature cutoff of 2nd stage. Artemis reached correct orbit under own power, BSAT abandoned in useless orbit","Premature cutoff of 2nd stage. Artemis reached correct orbit under own power, BSAT abandoned in useless orbit","Premature cutoff of 2nd stage. Artemis reached correct orbit under own power, BSAT abandoned in useless orbit","Premature cutoff of 2nd stage. Artemis reached correct orbit under own power, BSAT abandoned in useless orbit","Premature cutoff of 2nd stage. Artemis reached correct orbit under own power, BSAT abandoned in useless orbit",2001
,Molniya-M,Molniya 3–51,MO RF,Molniya,Communications,19 December 2016[3],Successful,2001
,Atlas IIA,GOES-12 (GOES-M),NOAA,Geosynchronous,Weather satellite,In orbit,Operational,2001
,Tsyklon-3,Koronas F,RAKA,Sun-synchronous,Solar observation,6 December 2005[4],Successful,2001
,Titan IVB (402)/IUS,DSP-21 (USA-159),US Air Force,Geosynchronous,Missile early warning,In orbit,Operational,2001
,Delta II 7326-9.5,Genesis,NASA,Earth-Sun L1 Lagrange Point,Solar wind sample return,8 September 2004,Partial failure,2001
,Delta II 7326-9.5,"Parachute failed to deploy upon return to Earth, some samples recovered from wreckage","Parachute failed to deploy upon return to Earth, some samples recovered from wreckage","Parachute failed to deploy upon return to Earth, some samples recovered from wreckage","Parachute failed to deploy upon return to Earth, some samples recovered from wreckage","Parachute failed to deploy upon return to Earth, some samples recovered from wreckage","Parachute failed to deploy upon return to Earth, some samples recovered from wreckage",2001
,Space Shuttle Discovery,STS-105,NASA,Low Earth (ISS),ISS assembly,22 August 03:38,Successful,2001
,Space Shuttle Discovery,Leonardo MPLM,ASI/NASA,Low Earth (ISS),Logistics,22 August 03:38,Successful,2001
,Space Shuttle Discovery,Simplesat,NASA,Low Earth,Astronomy,30 January 2002,Failure,2001
,Soyuz-U,Progress M-45,Roskosmos,Low Earth (ISS),Logistics,22 November,Successful,2001
,Soyuz-U,ISS flight 5P,ISS flight 5P,ISS flight 5P,ISS flight 5P,ISS flight 5P,ISS flight 5P,2001
,Proton-K/DM-2,Kosmos 2379,VKS,Geosynchronous,Early warning,In orbit,Operational,2001
,H-IIA 202,LRE,NASDA,Geostationary transfer,Orbit determination,In orbit,Successful,2001
,H-IIA 202,VEP-2,NASDA,Geostationary transfer,Boilerplate spacecraft,In orbit,Successful,2001
,Ariane 4 44L,Intelsat 902,Intelsat,Geosynchronous,Communications,In orbit,Operational,2001
,Atlas IIAS,NOSS C1-1 (USA-160),NRO,Low Earth,SIGINT,In orbit,Operational,2001
,Atlas IIAS,NOSS C1-1 (USA-160-2),NRO,Low Earth,SIGINT,In orbit,Operational,2001
,Soyuz-U,Progress M-SO1,Roscosmos,Low Earth (ISS),Space tug / ISS assembly,26 September,Successful,2001
,Soyuz-U,Pirs,Roscosmos,Low Earth (ISS),ISS component,26 July 2021 14:51[5],Successful,2001
,Soyuz-U,ISS flight 4R,ISS flight 4R,ISS flight 4R,ISS flight 4R,ISS flight 4R,ISS flight 4R,2001
,Taurus 2110,Orbview-4,OrbImage,Intended: Low Earth (SSO),Earth observation,21 September,Launch failure,2001
,Taurus 2110,QuikTOMS,NASA,Intended: Low Earth (SSO),Ozone observation,21 September,Launch failure,2001
,Taurus 2110,SBD / Celestis-4,Orbital Sciences / Celestis,Intended: Low Earth (SSO),Technology demonstration / Space burial,21 September,Launch failure,2001
,Taurus 2110,Failed to reach orbit after control issues. SBD and Celestis-4 were hosted payloads on the third stage.,Failed to reach orbit after control issues. SBD and Celestis-4 were hosted payloads on the third stage.,Failed to reach orbit after control issues. SBD and Celestis-4 were hosted payloads on the third stage.,Failed to reach orbit after control issues. SBD and Celestis-4 were hosted payloads on the third stage.,Failed to reach orbit after control issues. SBD and Celestis-4 were hosted payloads on the third stage.,Failed to reach orbit after control issues. SBD and Celestis-4 were hosted payloads on the third stage.,2001
,Ariane 4 44P,Atlantic Bird 2,Eutelsat,Geosynchronous,Communications,In orbit,Operational,2001
,Ariane 4 44P,Final flight of Ariane 4 44P.,Final flight of Ariane 4 44P.,Final flight of Ariane 4 44P.,Final flight of Ariane 4 44P.,Final flight of Ariane 4 44P.,Final flight of Ariane 4 44P.,2001
,Athena I,Starshine 3,NASA,Low Earth,Laser ranging,21 January 2003,Successful,2001
,Athena I,Picosat 9,U.S. Air Force,Low Earth,Technology demonstration,In orbit,Successful,2001
,Athena I,PCSat,U.S. Air Force,Low Earth,Communications,In orbit,Operational,2001
,Athena I,SAPPHIRE,Stanford University,Low Earth,Education,In orbit,Successful,2001
,Athena I,"Kodiak Star, Space Test Program mission. Final flight of Athena I, and at the time final flight of the Athena family, which was later reactivated. First orbital launch from Kodiak Island.","Kodiak Star, Space Test Program mission. Final flight of Athena I, and at the time final flight of the Athena family, which was later reactivated. First orbital launch from Kodiak Island.","Kodiak Star, Space Test Program mission. Final flight of Athena I, and at the time final flight of the Athena family, which was later reactivated. First orbital launch from Kodiak Island.","Kodiak Star, Space Test Program mission. Final flight of Athena I, and at the time final flight of the Athena family, which was later reactivated. First orbital launch from Kodiak Island.","Kodiak Star, Space Test Program mission. Final flight of Athena I, and at the time final flight of the Athena family, which was later reactivated. First orbital launch from Kodiak Island.","Kodiak Star, Space Test Program mission. Final flight of Athena I, and at the time final flight of the Athena family, which was later reactivated. First orbital launch from Kodiak Island.",2001
,Titan IVB (404),EIS-2 (USA-161),NRO,Sun-synchronous,Reconnaissance,In orbit,Operational,2001
,Proton-K/DM-2,Raduga-1,VKS,Geosynchronous,Communications,In orbit,Operational,2001
,Atlas IIAS,Aquila (USA-162),NRO,Geosynchronous,Communications,In orbit,Operational,2001
,Delta II 7320-10,QuickBird 2,DigitalGlobe,Low Earth,Earth observation,27 January 2015[6],Successful,2001
,Soyuz-U,Soyuz TM-33,Roskosmos,Low Earth (ISS),ISS escape craft,5 May 2002 03:52,Successful,2001
,PSLV,TES,ISRO,Low Earth,Reconnaissance,In orbit,Operational,2001
,PSLV,PROBA,ESA,Low Earth,Technology demonstration,In orbit,Operational,2001
,PSLV,BIRD,DLR,Low Earth,Earth imaging,In orbit,Operational,2001
,Molniya-M,Molniya 3–52,VKS,Molniya,Communications,6 December 2011,Successful,2001
,Soyuz-FG,Progress M1-7,Roskosmos,Low Earth (ISS),Logistics,20 March 2002,Successful,2001
,Soyuz-FG,Kolibri,RAKA,Low Earth,Technology demonstration,4 May 2002,Successful,2001
,Soyuz-FG,ISS flight 6P Kolibri deployed from Progress on 19 March 2002,ISS flight 6P Kolibri deployed from Progress on 19 March 2002,ISS flight 6P Kolibri deployed from Progress on 19 March 2002,ISS flight 6P Kolibri deployed from Progress on 19 March 2002,ISS flight 6P Kolibri deployed from Progress on 19 March 2002,ISS flight 6P Kolibri deployed from Progress on 19 March 2002,2001
,Ariane 4 44LP,DirecTV-4S,DirecTV,Geosynchronous,Communications,In orbit,Operational,2001
,Ariane 4 44LP,Final flight of Ariane 4 44LP,Final flight of Ariane 4 44LP,Final flight of Ariane 4 44LP,Final flight of Ariane 4 44LP,Final flight of Ariane 4 44LP,Final flight of Ariane 4 44LP,2001
,Proton-K/DM-2,Kosmos 2382 (GLONASS),KNITs,Medium Earth,Navigation,In orbit,Operational,2001
,Proton-K/DM-2,Kosmos 2383 (GLONASS),KNITs,Medium Earth,Navigation,In orbit,Operational,2001
,Proton-K/DM-2,Kosmos 2384 (GLONASS),KNITs,Medium Earth,Navigation,In orbit,Operational,2001
,Space Shuttle Endeavour,STS-108,NASA,Low Earth (ISS),ISS assembly,17 December 17:55,Successful,2001
,Space Shuttle Endeavour,Raffaello MPLM,ASI/NASA,Low Earth (ISS),Logistics,17 December 17:55,Successful,2001
,Space Shuttle Endeavour,Starshine 2,NASA,Low Earth,Technology demonstration,26 April 2002,Successful,2001
,Delta II 7920-10,Jason 1,CNES/NASA,Low Earth,Oceanography,In orbit,Operational,2001
,Delta II 7920-10,TIMED,NASA,Low Earth,Solar research,In orbit,Operational,2001
,Zenit-2,Meteor 3M-1,Rosaviakosmos,Low Earth,Weather satellite,In orbit,Operational,2001
,Zenit-2,Kompas,IZMIRAN,Low Earth,Earthquake prediction,In orbit,Operational,2001
,Zenit-2,Badr-B,SUPARCO,Low Earth,Earth imaging,In orbit,Partially Successful,2001
,Zenit-2,Maroc-Tubsat,Centre Royal de Teledetection Spatiale/TU Berlin,Low Earth,Earth imaging/Communications,In orbit,Operational,2001
,Zenit-2,Reflector,Rosaviakosmos/US Air Force,Low Earth,Space debris research,In orbit,Operational,2001
,Tsyklon-2,Kosmos 2383 (US-PM),Russian Navy,Low Earth,Reconnaissance,20 March 2004 18:54[7],Successful,2001
,Tsyklon-3,Kosmos 2384 (Strela),VKS,Low Earth,Communications,In orbit,Operational,2001
,Tsyklon-3,Kosmos 2385 (Strela),VKS,Low Earth,Communications,In orbit,Operational,2001
,Tsyklon-3,Kosmos 2386 (Strela),VKS,Low Earth,Communications,In orbit,Operational,2001
,Tsyklon-3,Gonets D1-10 (Gonets),VKS,Low Earth,Communications,In orbit,Operational,2001
,Tsyklon-3,Gonets D1-11 (Gonets),VKS,Low Earth,Communications,In orbit,Operational,2001
,Tsyklon-3,Gonets D1-12 (Gonets),VKS,Low Earth,Communications,In orbit,Operational,2001
,Titan IVB (401)/Centaur,Milstar DFS-5 (USA-164),US Air Force,Geosynchronous,Communications,In orbit,Operational,2002
,Ariane 4 42L,INSAT-3C,ISRO,Geosynchronous,Communications,In orbit,Operational,2002
,Ariane 4 42L,Final flight of Ariane 4 42L,Final flight of Ariane 4 42L,Final flight of Ariane 4 42L,Final flight of Ariane 4 42L,Final flight of Ariane 4 42L,Final flight of Ariane 4 42L,2002
,H-IIA 2024,MDS-1,NASDA,Geostationary transfer orbit,Technology demonstration,In orbit,Successful,2002
,H-IIA 2024,DASH,ISAS,Geostationary transfer orbit,Re-entry demonstration,In orbit,Spacecraft failure,2002
,H-IIA 2024,VEP-3,NASDA,Geostationary transfer orbit,Launch vehicle evaluation,In orbit,Successful,2002
,Pegasus-XL,RHESSI,NASA,Low Earth,Heliophysics,In orbit,Successful,2002
,Delta II 7920-10C,Iridium 91,Iridium,Low Earth,Communications,13 March 2019[1],Successful,2002
,Delta II 7920-10C,Iridium 90,Iridium,Low Earth,Communications,23 January 2019[2],Successful,2002
,Delta II 7920-10C,Iridium 94,Iridium,Low Earth,Communications,18 April 2018[3],Successful,2002
,Delta II 7920-10C,Iridium 95,Iridium,Low Earth,Communications,25 March 2019[4],Successful,2002
,Delta II 7920-10C,Iridium 96,Iridium,Low Earth,Communications,30 May 2020[5],Successful,2002
,Atlas IIIB-DEC,Echostar 7,Echostar,Geosynchronous,Communications,In orbit,Operational,2002
,Ariane 4 44L,Intelsat 904,Intelsat,Geosynchronous,Communications,In orbit,Operational,2002
,Soyuz-U,Kosmos 2387 (Yantar-4K2/Kobalt #81),GRU,Low Earth,Reconnaissance,27 June 02:30,Successful,2002
,Ariane 5G,Envisat,ESA,Sun-synchronous,Environmental research,In orbit,Successful,2002
,Space Shuttle Columbia,STS-109,NASA,Low Earth (HST),HST servicing,12 March,Operational,2002
,Atlas IIA,TDRS-9 (TDRS-I),NASA,Geosynchronous,Communications,In orbit,Partial spacecraft failure Operational,2002
,Atlas IIA,Propellant issues shortly after launch halved spacecraft fuel supply,Propellant issues shortly after launch halved spacecraft fuel supply,Propellant issues shortly after launch halved spacecraft fuel supply,Propellant issues shortly after launch halved spacecraft fuel supply,Propellant issues shortly after launch halved spacecraft fuel supply,Propellant issues shortly after launch halved spacecraft fuel supply,2002
,Rockot/Briz-KM,GRACE 1,NASA/DLR,Sun-synchronous,Gravity research,10 March 2018 06:09 UTC[6],Successful,2002
,Rockot/Briz-KM,GRACE 2,NASA/DLR,Sun-synchronous,Gravity research,24 December 2017 00:16 UTC[7],Successful,2002
,Soyuz-U,Progress M1-8,Roskosmos,Low Earth (ISS),Logistics,25 June 12:13,Successful,2002
,Soyuz-U,ISS flight 7P,ISS flight 7P,ISS flight 7P,ISS flight 7P,ISS flight 7P,ISS flight 7P,2002
,Long March 2F,Shenzhou 3,CMSA,Low Earth,Test spacecraft,1 April 08:51,Successful,2002
,Long March 2F,Shenzhou spacecraft orbital module,CMSA,Low Earth,Scientific research,12 November,Successful,2002
,Ariane 4 44L,Astra 3A,SES Astra,Geosynchronous,Communications,In orbit,Operational,2002
,Ariane 4 44L,JCSAT 8,JSAT,Geosynchronous,Communications,In orbit,Operational,2002
,Proton-K/DM-2M,Intelsat 903,Intelsat,Geosynchronous,Communications,In orbit,Operational,2002
,Molniya-M/Blok 2BL,Kosmos 2388 (US-K #81),VKS,Molniya,Missile early warning,14 September 2011,Operational,2002
,Space Shuttle Atlantis,STS-110,NASA,Low Earth (ISS),ISS assembly,19 April,Successful,2002
,Space Shuttle Atlantis,S0 Truss,NASA,Low Earth (ISS),ISS component,In orbit,Operational,2002
,Ariane 4 44L,NSS 7,SES New Skies,Geosynchronous,Communications,In orbit,Operational,2002
,Soyuz-U,Soyuz TM-34,Roskosmos,Low Earth (ISS),ISS escape craft,10 November,Successful,2002
,Ariane 4 42P,SPOT 5,CNES,Low Earth,Earth imaging,In orbit,Operational,2002
,Ariane 4 42P,BreizhSat-Oscar 47 (Indefix),AMSAT,Low Earth,Amateur radio,In orbit,Operational,2002
,Ariane 4 42P,BreizhSat-Oscar 48 (Indefix),AMSAT,Low Earth,Amateur radio,In orbit,Operational,2002
,Ariane 4 42P,Final flight of Ariane 4 42P. Both Indefix payloads were permanently attached to the third stage of Ariane 4,Final flight of Ariane 4 42P. Both Indefix payloads were permanently attached to the third stage of Ariane 4,Final flight of Ariane 4 42P. Both Indefix payloads were permanently attached to the third stage of Ariane 4,Final flight of Ariane 4 42P. Both Indefix payloads were permanently attached to the third stage of Ariane 4,Final flight of Ariane 4 42P. Both Indefix payloads were permanently attached to the third stage of Ariane 4,Final flight of Ariane 4 42P. Both Indefix payloads were permanently attached to the third stage of Ariane 4,2002
,Delta II 7920-10L,Aqua,NASA,Sun-synchronous (A-train),Environmental research,In orbit,Operational,2002
,Proton-K/Blok DM3,DirecTV-5,DirecTV,Geosynchronous,Communications,In orbit,Operational,2002
,Long March 4B,Hai Yang 1,CASC,Low Earth,Earth observation,In orbit,Operational,2002
,Long March 4B,Feng Yun 1D,CASC,Low Earth,Weather satellite,In orbit,Operational,2002
,Ariane 4 44L,Intelsat 905,Intelsat,Geosynchronous,Communications,In orbit,Operational,2002
,Space Shuttle Endeavour,STS-111,NASA,Low Earth (ISS),ISS assembly,19 June,Successful,2002
,Space Shuttle Endeavour,Leonardo MPLM,ASI / NASA,Low Earth (ISS),ISS logistics,19 June,Successful,2002
,Space Shuttle Endeavour,Canadarm2 Mobile Base Structure,CSA / NASA,Low Earth (ISS),ISS component,In orbit,Operational,2002
,Proton-K / DM-2M,Ekspress A4 (A1R),RSCC,Geosynchronous,Communications,In orbit,Successful,2002
,Proton-K / DM-2M,"Guidance error during ascent, recovered and placed in correct orbit using upper stage. Decommissioned in early 2020 after seventeen years in service.","Guidance error during ascent, recovered and placed in correct orbit using upper stage. Decommissioned in early 2020 after seventeen years in service.[8]","Guidance error during ascent, recovered and placed in correct orbit using upper stage. Decommissioned in early 2020 after seventeen years in service.[8]","Guidance error during ascent, recovered and placed in correct orbit using upper stage. Decommissioned in early 2020 after seventeen years in service.[8]","Guidance error during ascent, recovered and placed in correct orbit using upper stage. Decommissioned in early 2020 after seventeen years in service.[8]","Guidance error during ascent, recovered and placed in correct orbit using upper stage. Decommissioned in early 2020 after seventeen years in service.",2002
,Zenit-3SL,Galaxy 3C,PanAmSat,Geosynchronous,Communications,In orbit,Operational,2002
,Rockot / Briz-KM,Iridium 97,Iridium,Low Earth,Communications,27 December 2019 17:30[9],Successful,2002
,Rockot / Briz-KM,Iridium 98,Iridium,Low Earth,Communications,24 August 2018[10],Successful,2002
,Titan 23G,NOAA-17 (NOAA-M),NOAA,Low Earth (SSO),Meteorology,In orbit,Successful,2002
,Titan 23G,"Decommissioned on 10 April 2013. Disintegrated in orbit on 10 March 2021, with 16 associated pieces of space debris being tracked.","Decommissioned on 10 April 2013. Disintegrated in orbit on 10 March 2021, with 16 associated pieces of space debris being tracked.[11]","Decommissioned on 10 April 2013. Disintegrated in orbit on 10 March 2021, with 16 associated pieces of space debris being tracked.[11]","Decommissioned on 10 April 2013. Disintegrated in orbit on 10 March 2021, with 16 associated pieces of space debris being tracked.[11]","Decommissioned on 10 April 2013. Disintegrated in orbit on 10 March 2021, with 16 associated pieces of space debris being tracked.[11]","Decommissioned on 10 April 2013. Disintegrated in orbit on 10 March 2021, with 16 associated pieces of space debris being tracked.",2002
,Soyuz-U,Progress M-46,Roscosmos,Low Earth (ISS),ISS logistics,14 October,Successful,2002
,Soyuz-U,ISS flight 8P,ISS flight 8P,ISS flight 8P,ISS flight 8P,ISS flight 8P,ISS flight 8P,2002
,Delta II 7425-9.5,CONTOUR,NASA,Intended: Heliocentric,Comet probe,In orbit,Spacecraft failure,2002
,Delta II 7425-9.5,Exploded during injection into Heliocentric orbit Intended to visit comet 2P/Encke,Exploded during injection into Heliocentric orbit Intended to visit comet 2P/Encke,Exploded during injection into Heliocentric orbit Intended to visit comet 2P/Encke,Exploded during injection into Heliocentric orbit Intended to visit comet 2P/Encke,Exploded during injection into Heliocentric orbit Intended to visit comet 2P/Encke,Exploded during injection into Heliocentric orbit Intended to visit comet 2P/Encke,2002
,Ariane 5G,Stellat 5,Stellat,Geosynchronous,Communications,In orbit,Operational,2002
,Ariane 5G,N-STAR c,Stellat,Geosynchronous,Communications,In orbit,Operational,2002
,Atlas V 401,Hot Bird 6,Eutelsat,Geosynchronous,Communications,In orbit,Operational,2002
,Proton-K/DM-2M,Echostar 8,Echostar,Geosynchronous,Communications,In orbit,Operational,2002
,Ariane 5G,Atlantic Bird 1,Eutelsat,Geosynchronous,Communications,In orbit,Operational,2002
,Ariane 5G,Meteosat 8,Eumetsat,Geosynchronous,Weather satellite,In orbit,Operational,2002
,Ariane 4 44L,Intelsat 906,Intelsat,Geosynchronous,Communications,In orbit,Operational,2002
,H-IIA 2024,USERS,JAXA,Low Earth,Microgravity experiments,15 June 2007 19:56,Successful,2002
,H-IIA 2024,DRTS,NASDA,Geostationary,Communications,In orbit,Successful,2002
,PSLV-C,Kalpana-1 (METSAT 1),ISRO,Geostationary,Weather satellite,In orbit,Operational,2002
,Kaituozhe-1,HTSTL-1,Tsinghua University,Intended: Low Earth,Experimental,15 September,Launch failure,2002
,Atlas IIAS,Hispasat 1D,Hispasat,Geosynchronous,Communications,In orbit,Operational,2002
,Soyuz-FG,Progress M1-9,Roskosmos,Low Earth (ISS),Logistics,1 February 2003,Successful,2002
,Soyuz-FG,ISS flight 9P,ISS flight 9P,ISS flight 9P,ISS flight 9P,ISS flight 9P,ISS flight 9P,2002
,Kosmos-3M,Nadezhda-M,VKS,Low Earth,Navigation,In orbit,Operational,2002
,Space Shuttle Atlantis,STS-112,NASA,Low Earth (ISS),ISS assembly,18 October,Successful,2002
,Space Shuttle Atlantis,S1 Truss,NASA,Low Earth (ISS),ISS component,In orbit,Operational,2002
,Space Shuttle Atlantis,CETA,NASA,Low Earth (ISS),ISS component,In orbit,Operational,2002
,Soyuz-U,Foton-M1,ESA,Intended: Low Earth,Microgravity experiments,T+29 seconds,Launch failure,2002
,Soyuz-U,LRB exploded,LRB exploded,LRB exploded,LRB exploded,LRB exploded,LRB exploded,2002
,Proton-K/Blok DM-2,INTEGRAL,ESA,High Earth (High eccentricity),Astrophysics,In orbit,Operational,2002
,Long March 4B,Ziyuan II-02,CAST,Sun-synchronous,Earth observation Reconnaissance (alleged),22 January 2015,Successful,2002
,Soyuz-FG,Soyuz TMA-1,Roskosmos,Low Earth (ISS),ISS escape craft,4 May 2003,Successful,2002
,"Delta IV-M+ (4,2) (9240)",Eutelsat W5,Eutelsat,Geosynchronous,Communications,In orbit,Operational,2002
,Space Shuttle Endeavour,STS-113,NASA,Low Earth (ISS),ISS assembly,7 December,Successful,2002
,Space Shuttle Endeavour,P1 Truss,NASA,Low Earth (ISS),ISS component,In orbit,Operational,2002
,Space Shuttle Endeavour,MEPSI,NASA,Low Earth,Technology demonstration,31 January 2003,Successful,2002
,Proton-K/DM-2M,Astra 1K,SES Astra,Intended: Geosynchronous Attained: Low Earth,Communications,10 December,Launch failure,2002
