DateTimeYear,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,FlightNumberInfo,LaunchSite,Success
1 July 18:02-1997,Space Shuttle Columbia,reflight of STS-83,reflight of STS-83 Final flight of Spacelab Long Module 1,reflight of STS-83 Final flight of Spacelab Long Module 1,reflight of STS-83 Final flight of Spacelab Long Module 1,reflight of STS-83 Final flight of Spacelab Long Module 1,reflight of STS-83 Final flight of Spacelab Long Module 1,Final flight,,0
5 July 04:11-1997,Soyuz-U,Progress M-35,Roskosmos,LEO (Mir),Logistics,7 October 17:23,Successful,,,1
9 July 13:04-1997,Delta II 7920-10C,Iridium 15,Iridium,LEO,Communications,14 October 2018[9],Successful,,,1
9 July 13:04-1997,Delta II 7920-10C,Iridium 17,Iridium,LEO,Communications,In orbit,Operational,,,1
9 July 13:04-1997,Delta II 7920-10C,Iridium 20,Iridium,LEO,Communications,19 August 2018[10],Spacecraft Failure,,,0
9 July 13:04-1997,Delta II 7920-10C,Iridium 18,Iridium,LEO,Communications,19 August 2018[10],Spacecraft Failure,,,0
9 July 13:04-1997,Delta II 7920-10C,Iridium 21,Iridium,LEO,Communications,19 August 2018[10],Spacecraft Failure,,,0
23 July 03:42-1997,Delta II 7925-9.5,USA-132 (GPS IIR-2),US Air Force,MEO,Navigation,In orbit,Operational,,,1
28 July 01:15-1997,Atlas IIAS,Superbird C,SCC,GEO,Communications,In orbit,Operational,,,1
1 August 20:20-1997,Pegasus-XL,Orbview-2,GeoEye,LEO,Earth imaging,In orbit,Operational,,,1
5 August 15:35-1997,Soyuz-U,Soyuz TM-26,Roskosmos,LEO (Mir),Mir EO-24,19 February 1998 09:10,Successful,,,1
5 August 15:35-1997,Soyuz-U,Crewed orbital flight with two cosmonauts,Crewed orbital flight with two cosmonauts,Crewed orbital flight with two cosmonauts,Crewed orbital flight with two cosmonauts,Crewed orbital flight with two cosmonauts,Crewed orbital flight with two cosmonauts,,,0
7 August 14:41-1997,Space Shuttle Discovery,STS-85,NASA,LEO,Space sciences,19 August 11:08,Successful,,,1
7 August 14:41-1997,Space Shuttle Discovery,CRISTA-SPAS-2,DLR/NASA,LEO (Discovery),Atmospheric research,Crewed orbital flight with six astronauts CRISTA-SPAS deployed 7 August and retrieved 16 August,Crewed orbital flight with six astronauts CRISTA-SPAS deployed 7 August and retrieved 16 August,,,0
7 August 14:41-1997,Space Shuttle Discovery,MFD,NASDA,Crewed orbital flight with six astronauts CRISTA-SPAS deployed 7 August and retrieved 16 August,Dextrous RMS demonstration,Crewed orbital flight with six astronauts CRISTA-SPAS deployed 7 August and retrieved 16 August,Crewed orbital flight with six astronauts CRISTA-SPAS deployed 7 August and retrieved 16 August,,,0
7 August 14:41-1997,Space Shuttle Discovery,Crewed orbital flight with six astronauts CRISTA-SPAS deployed 7 August and retrieved 16 August,Crewed orbital flight with six astronauts CRISTA-SPAS deployed 7 August and retrieved 16 August,Crewed orbital flight with six astronauts CRISTA-SPAS deployed 7 August and retrieved 16 August,Crewed orbital flight with six astronauts CRISTA-SPAS deployed 7 August and retrieved 16 August,Crewed orbital flight with six astronauts CRISTA-SPAS deployed 7 August and retrieved 16 August,Crewed orbital flight with six astronauts CRISTA-SPAS deployed 7 August and retrieved 16 August,,,0
8 August 06:46-1997,Ariane 4 (44LP),PAS 6,PanAmSat,GEO,Communications,In orbit,Spacecraft Failure,,,0
8 August 06:46-1997,Ariane 4 (44LP),Spacecraft failure occurred in April 2004,Spacecraft failure occurred in April 2004,Spacecraft failure occurred in April 2004,Spacecraft failure occurred in April 2004,Spacecraft failure occurred in April 2004,Spacecraft failure occurred in April 2004,,,0
14 August 20:49-1997,Proton-K/DM-2,Kosmos 2345 (Prognoz),MO RF,GEO,Early warning,In orbit,Successful,,,1
14 August 20:49-1997,Proton-K/DM-2,Retired on 1 January 1999,Retired on 1 January 1999,Retired on 1 January 1999,Retired on 1 January 1999,Retired on 1 January 1999,Retired on 1 January 1999,,,0
19 August 17:50-1997,Long March 3B,Agila 2,MPSC,GEO,Communications,In orbit,Operational,,,1
21 August 00:38-1997,Delta II 7920-10C,Iridium 26,Iridium,LEO,Communications,In orbit,Operational,,,1
21 August 00:38-1997,Delta II 7920-10C,Iridium 25,Iridium,LEO,Communications,14 May 2018[11],Successful,,,1
21 August 00:38-1997,Delta II 7920-10C,Iridium 24,Iridium,LEO,Communications,11 May 2019[12],Spacecraft Failure,,,0
21 August 00:38-1997,Delta II 7920-10C,Iridium 23,Iridium,LEO,Communications,28 March 2018[13],Spacecraft Failure,,,0
21 August 00:38-1997,Delta II 7920-10C,Iridium 22,Iridium,LEO,Communications,28 March 2018[13],Spacecraft Failure,,,0
23 August 06:51-1997,LMLV-1 (Athena I),Lewis,NASA,LEO,Earth observation,29 September,Spacecraft failure,,,0
23 August 06:51-1997,LMLV-1 (Athena I),Control lost within three days of launch due to RCS design flaw.[14],Control lost within three days of launch due to RCS design flaw.[14],Control lost within three days of launch due to RCS design flaw.[14],Control lost within three days of launch due to RCS design flaw.[14],Control lost within three days of launch due to RCS design flaw.[14],Control lost within three days of launch due to RCS design flaw.[14],,,0
25 August 14:39-1997,Delta II 7920-8,ACE,NASA,Earth/Sun L1 point,Magnetospheric research,In orbit,Operational,,,1
28 August 00:33-1997,Proton-K/DM-2M,PAS 5,PanAmSat,GEO,Communications,In orbit,Operational,,,1
29 August 15:02-1997,Pegasus-XL,FORTE,US Air Force,LEO,Ionosphere research,In orbit,Operational,,,1
1 September 14:00-1997,Long March 2C,Iridium MFS-1,Iridium,LEO,Boilerplate spacecraft,In orbit,Successful,,,1
1 September 14:00-1997,Long March 2C,Iridium MFS-2,Iridium,LEO,Boilerplate spacecraft,In orbit,Successful,,,1
2 September 22:21-1997,Ariane 4 (44LP),Hot Bird 3,Eutelsat,GEO,Communications,In orbit,Operational,,,1
2 September 22:21-1997,Ariane 4 (44LP),Meteosat 7,Eumetsat,GEO,Meteorology,In orbit,Operational,,,1
4 September 12:03-1997,Atlas IIAS,GE 3,GE Americom,GEO,Communications,In orbit,Operational,,,1
14 September 01:36-1997,Proton-K/17S40,Iridium 29,Iridium,LEO,Communications,In orbit,Operational,,,1
14 September 01:36-1997,Proton-K/17S40,Iridium 32,Iridium 33 destroyed in collision with Kosmos 2251[15],Iridium 33 destroyed in collision with Kosmos 2251[15],Iridium 33 destroyed in collision with Kosmos 2251[15],10 March 2019[16],Successful,,,1
14 September 01:36-1997,Proton-K/17S40,Iridium 33,Iridium 33 destroyed in collision with Kosmos 2251[15],Iridium 33 destroyed in collision with Kosmos 2251[15],Iridium 33 destroyed in collision with Kosmos 2251[15],10 February 2009,Partial Failure,,,0
14 September 01:36-1997,Proton-K/17S40,Iridium 27,Iridium 33 destroyed in collision with Kosmos 2251[15],Iridium 33 destroyed in collision with Kosmos 2251[15],Iridium 33 destroyed in collision with Kosmos 2251[15],1 February 2002,Spacecraft Failure,,,0
14 September 01:36-1997,Proton-K/17S40,Iridium 28,Iridium 33 destroyed in collision with Kosmos 2251[15],Iridium 33 destroyed in collision with Kosmos 2251[15],Iridium 33 destroyed in collision with Kosmos 2251[15],28 September 2017[17],Iridium 33 destroyed in collision with Kosmos 2251[15],,,0
14 September 01:36-1997,Proton-K/17S40,Iridium 30,Iridium 33 destroyed in collision with Kosmos 2251[15],Iridium 33 destroyed in collision with Kosmos 2251[15],Iridium 33 destroyed in collision with Kosmos 2251[15],20 December 2018[18],Iridium 33 destroyed in collision with Kosmos 2251[15],,,0
14 September 01:36-1997,Proton-K/17S40,Iridium 31,Iridium 33 destroyed in collision with Kosmos 2251[15],Iridium 33 destroyed in collision with Kosmos 2251[15],Iridium 33 destroyed in collision with Kosmos 2251[15],Iridium 33 destroyed in collision with Kosmos 2251[15],Iridium 33 destroyed in collision with Kosmos 2251[15],,,0
14 September 01:36-1997,Proton-K/17S40,Iridium 33 destroyed in collision with Kosmos 2251[15],Iridium 33 destroyed in collision with Kosmos 2251[15],Iridium 33 destroyed in collision with Kosmos 2251[15],Iridium 33 destroyed in collision with Kosmos 2251[15],Iridium 33 destroyed in collision with Kosmos 2251[15],Iridium 33 destroyed in collision with Kosmos 2251[15],,,0
23 September 16:44-1997,Kosmos-3M,Kosmos 2346 (Parus),MO RF,LEO,Navigation,In orbit,Operational,,,1
23 September 16:44-1997,Kosmos-3M,FAISAT-2V,FAI,LEO,Communications,In orbit,Operational,,,1
23 September 23:58-1997,Ariane 4 (42L),Intelsat 803,Intelsat,GEO,Communications,In orbit,Operational,,,1
24 September 21:30-1997,Molniya-M,Molniya-1T,MO RF,Molniya,Communications,In orbit,Operational,,,1
26 September 02:34-1997,Space Shuttle Atlantis,STS-86,NASA,LEO (Mir),Shuttle-Mir flight,6 October 21:55,Successful,,,1
26 September 02:34-1997,Space Shuttle Atlantis,SpaceHab LDM,NASA/SpaceHab,LEO (Atlantis),Logistics,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,,,0
26 September 02:34-1997,Space Shuttle Atlantis,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,,,0
27 September 01:23-1997,Delta II 7920-10C,Iridium 19,Iridium,LEO,Communications,7 April 2018[19],Successful,,,1
27 September 01:23-1997,Delta II 7920-10C,Iridium 37,Iridium,LEO,Communications,26 May 2018[20],Operational,,,1
27 September 01:23-1997,Delta II 7920-10C,Iridium 36,Iridium,LEO,Communications,In orbit,Operational,,,1
27 September 01:23-1997,Delta II 7920-10C,Iridium 35,Iridium,LEO,Communications,26 December 2018[21],Operational,,,1
27 September 01:23-1997,Delta II 7920-10C,Iridium 34,Iridium,LEO,Communications,8 January 2018[22],Operational,,,1
29 September 04:47-1997,PSLV,IRS-1D,ISRO,Sun-synchronous,Remote sensing,In orbit,Operational,,,1
5 October 15:08-1997,Soyuz-U,Progress M-36,Roskosmos,LEO (Mir),Logistics,19 December 13:20,Successful,,,1
5 October 15:08-1997,Soyuz-U,Sputnik-40,DASA,LEO,Amateur communications,21 May 1998,Successful,,,1
5 October 15:08-1997,Soyuz-U,X-Mir,DASA,LEO,Inspect Mir,2 October 1998,Successful,,,1
5 October 21:01-1997,Atlas IIAS,Echostar 3,EchoStar,GEO,Communications,In orbit,Operational,,,1
9 October 17:59-1997,Soyuz-U,Foton 11,Roskosmos,LEO,Microgravity research,23 October,Successful,,,1
15 October 08:43-1997,Titan IVB (401)/Centaur,Cassini,NASA,Kronocentric Orbit,Saturn orbiter,15 September 2017 10:31,Successful,,,1
15 October 08:43-1997,Titan IVB (401)/Centaur,Huygens,NASA/ESA,Cassini is the first spacecraft to orbit Saturn and Huygens is the first spacecraft to land on Titan. Huygens released from Cassini on 25 December 2004.,Titan lander,14 January 2005 12:43,Cassini is the first spacecraft to orbit Saturn and Huygens is the first spacecraft to land on Titan. Huygens released from Cassini on 25 December 2004.,,,0
15 October 08:43-1997,Titan IVB (401)/Centaur,Cassini is the first spacecraft to orbit Saturn and Huygens is the first spacecraft to land on Titan. Huygens released from Cassini on 25 December 2004.,Cassini is the first spacecraft to orbit Saturn and Huygens is the first spacecraft to land on Titan. Huygens released from Cassini on 25 December 2004.,Cassini is the first spacecraft to orbit Saturn and Huygens is the first spacecraft to land on Titan. Huygens released from Cassini on 25 December 2004.,Cassini is the first spacecraft to orbit Saturn and Huygens is the first spacecraft to land on Titan. Huygens released from Cassini on 25 December 2004.,Cassini is the first spacecraft to orbit Saturn and Huygens is the first spacecraft to land on Titan. Huygens released from Cassini on 25 December 2004.,Cassini is the first spacecraft to orbit Saturn and Huygens is the first spacecraft to land on Titan. Huygens released from Cassini on 25 December 2004.,,,0
16 October 19:13-1997,Long March 3B,Apstar 2R,APT,GEO,Communications,In orbit,Operational,,,1
22 October 13:13-1997,Pegasus-XL,STEP-4,US Air Force,LEO,nan,31 March 2001,Successful,,,1
24 October 02:32-1997,Titan IVA (403),USA-133 (Lacrosse 3),NRO,LEO,Reconnaissance,In orbit,Operational,,,1
25 October 00:46-1997,Atlas IIA,USA-135 (DSCS III F13),US Air Force,GEO,Communications,In orbit,Operational,,,1
25 October 00:46-1997,Atlas IIA,FalconSat Gold,USAFA,GEO transfer,Technology demonstration,27 September 1998,Successful,,,1
30 October 13:43-1997,Ariane 5G,MAQSAT-H,ESA,GEO transfer,Boilerplate,In orbit,Successful,,,1
30 October 13:43-1997,Ariane 5G,MAQSAT-B,ESTEC,GEO transfer,Technology development,In orbit,Operational,,,1
30 October 13:43-1997,Ariane 5G,TEAMSAT,ESTEC,GEO transfer,Technolovy development,In orbit,Operational,,,1
30 October 13:43-1997,Ariane 5G,YES,ESTEC,GEO transfer,Technolovy development,In orbit,Operational,,,1
2 November 12:25-1997,VLS-1,SCD-2A,INPE,Intended: LEO,Weather satellite,2 November,Launch Failure,,,0
6 November 00:30-1997,Delta II 7925-9.5,USA-134 (GPS IIA-19),US Air Force,MEO,Navigation,In orbit,Operational,,,1
8 November 02:05-1997,Titan IVA (401)/Centaur,USA-136 (Trumpet 3),NRO,Molniya,SIGINT,In orbit,Operational,,,1
8 November 02:05-1997,Titan IVA (401)/Centaur,NRO Launch 4,NRO Launch 4,NRO Launch 4,NRO Launch 4,NRO Launch 4,NRO Launch 4,,,0
9 November 01:34-1997,Delta II 7920-10C,Iridium 43,Iridium,LEO,Communications,11 February 2018[23],Successful,,,1
9 November 01:34-1997,Delta II 7920-10C,Iridium 41,Iridium,LEO,Communications,28 July 2018[24],Operational,,,1
9 November 01:34-1997,Delta II 7920-10C,Iridium 40,Iridium,LEO,Communications,23 September 2018[25],Operational,,,1
9 November 01:34-1997,Delta II 7920-10C,Iridium 39,Iridium,LEO,Communications,In orbit,Operational,,,1
9 November 01:34-1997,Delta II 7920-10C,Iridium 38,Iridium,LEO,Communications,In orbit,Operational,,,1
12 November 17:00-1997,Proton-K/DM-2M,Kupon,RFCB,GEO,Communications,In orbit,Spacecraft Failure,,,0
12 November 17:00-1997,Proton-K/DM-2M,Onboard computer failed,Onboard computer failed,Onboard computer failed,Onboard computer failed,Onboard computer failed,Onboard computer failed,,,0
12 November 17:00-1997,Proton-K/DM-2M,Astra 1G,SES,Onboard computer failed,Onboard computer failed,Onboard computer failed,Operational,,,1
12 November 21:48-1997,Ariane 4 (44L),Sirius 2,NSAB,GEO,Communications,In orbit,Spacecraft Failure,,,0
12 November 21:48-1997,Ariane 4 (44L),IndoStar-1,Indostar,Astra 5A (Sirius 2) failed on 16 January 2009,Astra 5A (Sirius 2) failed on 16 January 2009,Astra 5A (Sirius 2) failed on 16 January 2009,Operational,,,1
12 November 21:48-1997,Ariane 4 (44L),Astra 5A (Sirius 2) failed on 16 January 2009,Astra 5A (Sirius 2) failed on 16 January 2009,Astra 5A (Sirius 2) failed on 16 January 2009,Astra 5A (Sirius 2) failed on 16 January 2009,Astra 5A (Sirius 2) failed on 16 January 2009,Astra 5A (Sirius 2) failed on 16 January 2009,,,0
18 November 11:14-1997,Soyuz-U,Resurs F-1M,Roskosmos,LEO,Remote sensing,13 December,Successful,,,1
19 November 19:46-1997,Space Shuttle Columbia,STS-87,NASA,LEO,Microgravity experiments,5 December 12:20,Successful,,,1
19 November 19:46-1997,Space Shuttle Columbia,SPARTAN-201,Crewed orbital flight with six astronauts Spartan failed to orient itself due to human error during deployment on 21 November; was retrieved on 25 November.,LEO (Columbia),Microgravity research,Crewed orbital flight with six astronauts Spartan failed to orient itself due to human error during deployment on 21 November; was retrieved on 25 November.,Failure,,,0
19 November 19:46-1997,Space Shuttle Columbia,EDO Pallet,Crewed orbital flight with six astronauts Spartan failed to orient itself due to human error during deployment on 21 November; was retrieved on 25 November.,Crewed orbital flight with six astronauts Spartan failed to orient itself due to human error during deployment on 21 November; was retrieved on 25 November.,Cryogenic mission extension pallet,Crewed orbital flight with six astronauts Spartan failed to orient itself due to human error during deployment on 21 November; was retrieved on 25 November.,Crewed orbital flight with six astronauts Spartan failed to orient itself due to human error during deployment on 21 November; was retrieved on 25 November.,,,0
19 November 19:46-1997,Space Shuttle Columbia,Crewed orbital flight with six astronauts Spartan failed to orient itself due to human error during deployment on 21 November; was retrieved on 25 November.,Crewed orbital flight with six astronauts Spartan failed to orient itself due to human error during deployment on 21 November; was retrieved on 25 November.,Crewed orbital flight with six astronauts Spartan failed to orient itself due to human error during deployment on 21 November; was retrieved on 25 November.,Crewed orbital flight with six astronauts Spartan failed to orient itself due to human error during deployment on 21 November; was retrieved on 25 November.,Crewed orbital flight with six astronauts Spartan failed to orient itself due to human error during deployment on 21 November; was retrieved on 25 November.,Crewed orbital flight with six astronauts Spartan failed to orient itself due to human error during deployment on 21 November; was retrieved on 25 November.,,,0
27 November 21:27-1997,H-II,TRMM,NASA,LEO,Environmental research,16 June 2015 06:55[27],Successful,,,1
27 November 21:27-1997,H-II,Hikoboshi (ETS-7),NASDA,The two ETS satellites docked on 7 July 1998[26],Docking test,13 November 2015[28],The two ETS satellites docked on 7 July 1998[26],,,0
27 November 21:27-1997,H-II,Orihime (ETS-7),The two ETS satellites docked on 7 July 1998[26],The two ETS satellites docked on 7 July 1998[26],The two ETS satellites docked on 7 July 1998[26],The two ETS satellites docked on 7 July 1998[26],The two ETS satellites docked on 7 July 1998[26],,,0
27 November 21:27-1997,H-II,The two ETS satellites docked on 7 July 1998[26],The two ETS satellites docked on 7 July 1998[26],The two ETS satellites docked on 7 July 1998[26],The two ETS satellites docked on 7 July 1998[26],The two ETS satellites docked on 7 July 1998[26],The two ETS satellites docked on 7 July 1998[26],,,0
2 December 22:52-1997,Ariane 4 (44P),JCSAT 5,JSAT,GEO,Communications,In orbit,Operational,,,1
2 December 22:52-1997,Ariane 4 (44P),Equator-S,DLR,GEO transfer,Magnetospheric research,In orbit,Operational,,,1
8 December 07:16-1997,Long March 2C,Iridium 42,Iridium,LEO,Communications,In orbit,Operational,,,1
8 December 07:16-1997,Long March 2C,Iridium 44,Iridium,LEO,Communications,In orbit,Spacecraft Failure,,,0
8 December 23:52-1997,Atlas IIAS,Galaxy 8i,PanAmSat,Current: Graveyard Operational: GEO,Communications,In orbit,Successful,,,1
8 December 23:52-1997,Atlas IIAS,Retired in October 2002,Retired in October 2002,Retired in October 2002,Retired in October 2002,Retired in October 2002,Retired in October 2002,,,0
9 December 07:17-1997,Tsyklon-2,Kosmos 2347 (EORSAT,MO RF,LEO,SIGINT,11 December 1999,Successful,,,1
15 December 15:40-1997,Soyuz-U,Kosmos 2348 (Yantar),MO RF,LEO,Reconnaissance,14 April 1998,Successful,,,1
20 December 08:45-1997,Soyuz-U,Progress M-37,Roskosmos,LEO (Mir),Logistics,15 March 1998 23:04,Successful,,,1
20 December 13:16-1997,Delta II 7920-10C,Iridium 45,Iridium,LEO,Communications,In orbit,Operational,,,1
20 December 13:16-1997,Delta II 7920-10C,Iridium 46,Iridium,LEO,Communications,1 September 2018[29],Successful,,,1
20 December 13:16-1997,Delta II 7920-10C,Iridium 47,Iridium,LEO,Communications,5 May 2001,Spacecraft Failure,,,0
20 December 13:16-1997,Delta II 7920-10C,Iridium 48,Iridium,LEO,Communications,13 February 2018[30],Spacecraft Failure,,,0
20 December 13:16-1997,Delta II 7920-10C,Iridium 49,Iridium,LEO,Communications,13 February 2018[30],Spacecraft Failure,,,0
22 December 00:16-1997,Ariane 4 (42L),Intelsat 804,Intelsat,GEO,Communications,In orbit,Operational,,,1
23 December 19:11-1997,Pegasus-XL/HAPS,Orbcomm A1,Orbcomm,LEO,Communications,In orbit,Operational,,,1
23 December 19:11-1997,Pegasus-XL/HAPS,Orbcomm A2,Orbcomm,LEO,Communications,In orbit,Operational,,,1
23 December 19:11-1997,Pegasus-XL/HAPS,Orbcomm A3,Orbcomm,LEO,Communications,In orbit,Operational,,,1
23 December 19:11-1997,Pegasus-XL/HAPS,Orbcomm A4,Orbcomm,LEO,Communications,In orbit,Operational,,,1
23 December 19:11-1997,Pegasus-XL/HAPS,Orbcomm A5,Orbcomm,LEO,Communications,In orbit,Operational,,,1
23 December 19:11-1997,Pegasus-XL/HAPS,Orbcomm A6,Orbcomm,LEO,Communications,In orbit,Operational,,,1
23 December 19:11-1997,Pegasus-XL/HAPS,Orbcomm A7,Orbcomm,LEO,Communications,In orbit,Operational,,,1
23 December 19:11-1997,Pegasus-XL/HAPS,Orbcomm A8,Orbcomm,LEO,Communications,In orbit,Operational,,,1
24 December 13:32-1997,Start-1,Early Bird 1,EarthWatch,LEO,Earth observation,27 July 2000,Successful,,,1
24 December 23:19-1997,Proton-K/DM-2M,AsiaSat 3,AsiaSat,GEO,Communications,In orbit,Partial Launch Failure,,,0
24 December 23:19-1997,Proton-K/DM-2M,Upper stage failure; Performed lunar flyby to reduce orbital inclination and reach operational position.,Upper stage failure; Performed lunar flyby to reduce orbital inclination and reach operational position.,Upper stage failure; Performed lunar flyby to reduce orbital inclination and reach operational position.,Upper stage failure; Performed lunar flyby to reduce orbital inclination and reach operational position.,Upper stage failure; Performed lunar flyby to reduce orbital inclination and reach operational position.,Upper stage failure; Performed lunar flyby to reduce orbital inclination and reach operational position.,,,0
7 January 02:28-1998,Athena II,Lunar Prospector,NASA,Selenocentric,Lunar orbiter,31 July 1999,Successful,,,1
10 January 00:32-1998,Delta II 7925-9.5,Skynet 4D,MoD,GEO,Communications,In orbit,Operational,,,1
22 January 12:56-1998,Shavit,Ofeq-4,Second stage failure,Intended: LEO (retrograde),Reconnaissance,22 January,Launch Failure,,,0
22 January 12:56-1998,Shavit,Second stage failure,Second stage failure,Second stage failure,Second stage failure,Second stage failure,Second stage failure,,,0
23 January 02:48-1998,Space Shuttle Endeavour,STS-89,NASA,LEO (Mir),Shuttle-Mir Program,31 January 16:57,Successful,,,1
23 January 02:48-1998,Space Shuttle Endeavour,SpaceHab Logistics Double Module,NASA/SpaceHab,LEO (Endeavour),Logistics,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,,,0
23 January 02:48-1998,Space Shuttle Endeavour,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,,,0
29 January 16:33-1998,Soyuz-U,Soyuz TM-27,Roskosmos,LEO (Mir),Mir EO-25,25 August 05:24,Successful,,,1
29 January 16:33-1998,Soyuz-U,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,,,0
29 January 18:37-1998,Atlas IIA,USA-137 (SDS-3-1),NRO,Molniya,Communications,In orbit,Operational,,,1
29 January 18:37-1998,Atlas IIA,NRO Launch 5,NRO Launch 5,NRO Launch 5,NRO Launch 5,NRO Launch 5,NRO Launch 5,,,0
4 February 23:29-1998,Ariane 4 44LP,Brazilsat B3,Embratel,GEO,Communications,In orbit,Operational,,,1
4 February 23:29-1998,Ariane 4 44LP,Inmarsat 3F5,Inmarsat,GEO,Communications,In orbit,Operational,,,1
10 February 13:20-1998,Taurus 2210,GFO,US Navy,LEO,Radar altimetry,In orbit,Operational,,,1
10 February 13:20-1998,Taurus 2210,Orbcomm G1,Orbcomm,LEO,Communications,In orbit,Successful,,,1
10 February 13:20-1998,Taurus 2210,Orbcomm G2,Celestis,LEO,Space burial,In orbit,Successful,,,1
10 February 13:20-1998,Taurus 2210,Celestis-02,Celestis,LEO,Space burial,In orbit,Successful,,,1
14 February 14:34-1998,Delta II 7420-10C,Globalstar 1,Globalstar,LEO,Communications,In orbit,Operational,,,1
14 February 14:34-1998,Delta II 7420-10C,Globalstar 4,Globalstar,LEO,Communications,In orbit,Operational,,,1
14 February 14:34-1998,Delta II 7420-10C,Globalstar 2,Globalstar,LEO,Communications,In orbit,Operational,,,1
14 February 14:34-1998,Delta II 7420-10C,Globalstar 3,Globalstar,LEO,Communications,In orbit,Operational,,,1
17 February 10:34-1998,Soyuz-U,Kosmos 2349 (Yantar),nan,LEO,Cartography,2 April,Successful,,,1
18 February 13:58-1998,Delta II 7920-10C,Iridium 52,Iridium,LEO,Communications,5 November 2018[1],Successful,,,1
18 February 13:58-1998,Delta II 7920-10C,Iridium 56,Iridium,LEO,Communications,11 October 2018[2],Successful,,,1
18 February 13:58-1998,Delta II 7920-10C,Iridium 54,Iridium,LEO,Communications,11 May 2019[3],Successful,,,1
18 February 13:58-1998,Delta II 7920-10C,Iridium 50,Iridium,LEO,Communications,23 September 2018[4],Successful,,,1
18 February 13:58-1998,Delta II 7920-10C,Iridium 53,Iridium,LEO,Communications,30 September 2018[5],Successful,,,1
21 February 07:55-1998,H-II,Kakehashi (COMETS),NASDA,Intended: GEO Actual: MEO,Communications,In orbit,Partial Failure,,,0
21 February 07:55-1998,H-II,Upper stage failure led to lower orbit than planned,Upper stage failure led to lower orbit than planned,Upper stage failure led to lower orbit than planned,Upper stage failure led to lower orbit than planned,Upper stage failure led to lower orbit than planned,Upper stage failure led to lower orbit than planned,,,0
26 February 07:07-1998,Pegasus-XL,SNOE,NASA/UC Boulder,LEO,Nitric Oxide research,13 December 2003,Successful,,,1
26 February 07:07-1998,Pegasus-XL,Teledesic 1,Teledesic,LEO,Communications,9 October 2000,Successful,,,1
27 February 22:38-1998,Ariane 4 42P,Hot Bird 4,Eutelsat,GEO,Communications,In orbit,Operational,,,1
28 February 00:21-1998,Atlas IIAS,Intelsat 806,Intelsat,GEO,Communications,In orbit,Operational,,,1
14 March 22:45-1998,Soyuz-U,Progress M-38,Roskosmos,LEO (Mir),Logistics,15 May,Successful,,,1
14 March 22:45-1998,Soyuz-U,VDU 2,Roskosmos,LEO (Mir),Mir attitude control unit,23 March 2001 05:50,Successful,,,1
16 March 21:32-1998,Atlas II,USA-138 (UHF F/O F8),US Navy,GEO,Communications,In orbit,Operational,Final flight,,1
16 March 21:32-1998,Atlas II,,Final flight of baseline Atlas II,Final flight of baseline Atlas II,Final flight of baseline Atlas II,Final flight of baseline Atlas II,Final flight of baseline Atlas II,Final flight,,0
24 March 01:46-1998,Ariane 4 40,SPOT 4,CNES,Sun-synchronous,Earth Imaging,In orbit,Operational,,,1
25 March 17:01-1998,Long March 2C,Iridium 51,Iridium,LEO,Communications,In orbit,Operational,,,1
25 March 17:01-1998,Long March 2C,Iridium 61,Iridium,LEO,Communications,23 July 2019[6],Successful,,,1
30 March 06:02-1998,Delta II 7920-10C,Iridium 55,Iridium,LEO,Communications,31 March 2019[7],Successful,,,1
30 March 06:02-1998,Delta II 7920-10C,Iridium 57,Iridium,LEO,Communications,In orbit,Operational,,,1
30 March 06:02-1998,Delta II 7920-10C,Iridium 58,Iridium,LEO,Communications,7 April 2019[8],Operational,,,1
30 March 06:02-1998,Delta II 7920-10C,Iridium 59,Iridium,LEO,Communications,11 March 2019[9],Operational,,,1
30 March 06:02-1998,Delta II 7920-10C,Iridium 60,Iridium,LEO,Communications,17 March 2019[10],Operational,,,1
2 April 02:42-1998,Pegasus-XL,TRACE,NASA,LEO,Solar research,In orbit,Operational,,,1
7 April 02:13-1998,Proton-K/DM2,Iridium 62,Iridium,LEO,Communications,7 November 2018[11],Successful,,,1
7 April 02:13-1998,Proton-K/DM2,Iridium 63,Iridium,LEO,Communications,In orbit,Operational,,,1
7 April 02:13-1998,Proton-K/DM2,Iridium 64,Iridium,LEO,Communications,1 April 2019[12],Operational,,,1
7 April 02:13-1998,Proton-K/DM2,Iridium 65,Iridium,LEO,Communications,19 July 2018[13],Operational,,,1
7 April 02:13-1998,Proton-K/DM2,Iridium 66,Iridium,LEO,Communications,23 August 2018[14],Operational,,,1
