DateTime,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,Year,FlightNumberInfo,LaunchSite
5 May 07:04,Soyuz-U,Progress M-31,Roskosmos,LEO (Mir),Logistics,1 August 20:33,Successful,1996,,
12 May 21:32,Titan IVA (403),USA-119 (NOSS 2–3),NRO,LEO,SIGINT,In orbit,Operational,1996,,
12 May 21:32,Titan IVA (403),USA-120 (NOSS 2–3),NRO,LEO,SIGINT,In orbit,Operational,1996,,
12 May 21:32,Titan IVA (403),USA-121 (NOSS 2–3),NRO,LEO,SIGINT,In orbit,Operational,1996,,
12 May 21:32,Titan IVA (403),USA-122 (NOSS 2–3),NRO,LEO,SIGINT,In orbit,Operational,1996,,
12 May 21:32,Titan IVA (403),USA-123 (TiPS),NRL,LEO,Space tether experiment,In orbit,Operational,1996,,
12 May 21:32,Titan IVA (403),USA-124 (TiPS),NRL,LEO,Space tether experiment,In orbit,Operational,1996,,
14 May 08:55,Soyuz-U,Yantar-1KFT,VKS,Intended: LEO,Reconnaissance,+ 49 seconds,Launch Failure,1996,,
14 May 08:55,Soyuz-U,Payload fairing disintegrated,Payload fairing disintegrated,Payload fairing disintegrated,Payload fairing disintegrated,Payload fairing disintegrated,Payload fairing disintegrated,1996,,
16 May 01:56,Ariane 4 (44L),Palapa C2,Telkom Indonesia,GEO,Communications,In orbit,Operational,1996,,
16 May 01:56,Ariane 4 (44L),AMOS 1,Spacecom,GEO,Communications,In orbit,Operational,1996,,
17 May 02:44,Pegasus-H,MSTI-3,BMDO,LEO,Technology development,11 December 1997,Successful,1996,,
19 May 10:30,Space Shuttle Endeavour,STS-77,NASA,LEO,Microgravity research,29 May 11:10,Successful,1996,,
19 May 10:30,Space Shuttle Endeavour,SpaceHab LSM,NASA/SpaceHab,LEO (Endeavour),Scientific experiments,29 May 11:10,Successful,1996,,
19 May 10:30,Space Shuttle Endeavour,SPARTAN-207,NASA,LEO,Technology demonstration,29 May 11:10,Successful,1996,,
19 May 10:30,Space Shuttle Endeavour,IAE,NASA,LEO,Technology demonstration,22 May,Successful,1996,,
19 May 10:30,Space Shuttle Endeavour,PAMS,NASA,LEO,Technology demonstration,26 October,Successful,1996,,
19 May 10:30,Space Shuttle Endeavour,Crewed orbital flight with six astronauts SPARTAN used to deploy the IAE satellite on 20 May; PAMS deployed on 22 May,Crewed orbital flight with six astronauts SPARTAN used to deploy the IAE satellite on 20 May; PAMS deployed on 22 May,Crewed orbital flight with six astronauts SPARTAN used to deploy the IAE satellite on 20 May; PAMS deployed on 22 May,Crewed orbital flight with six astronauts SPARTAN used to deploy the IAE satellite on 20 May; PAMS deployed on 22 May,Crewed orbital flight with six astronauts SPARTAN used to deploy the IAE satellite on 20 May; PAMS deployed on 22 May,Crewed orbital flight with six astronauts SPARTAN used to deploy the IAE satellite on 20 May; PAMS deployed on 22 May,1996,,
24 May 01:09,Delta II 7925,Galaxy 9,PanAmSat,GEO,Communications,In orbit,Operational,1996,,
25 May 02:05,Proton-K/DM-2,Gorizont 32,MOM,GEO,Communications,In orbit,Operational,1996,,
4 June 12:34,Ariane 5G,Cluster F1,ESA,Intended: High Earth (elliptical),Magnetosphere research,+37 seconds,Launch Failure,1996,,
4 June 12:34,Ariane 5G,Cluster F2,ESA,Intended: High Earth (elliptical),Magnetosphere research,+37 seconds,Launch Failure,1996,,
4 June 12:34,Ariane 5G,Cluster F3,ESA,Intended: High Earth (elliptical),Magnetosphere research,+37 seconds,Launch Failure,1996,,
4 June 12:34,Ariane 5G,Cluster F4,ESA,Intended: High Earth (elliptical),Magnetosphere research,+37 seconds,Launch Failure,1996,,
4 June 12:34,Ariane 5G,,Maiden flight of Ariane 5G; Ariane 5 Flight 501 Programming error led to rocket going off course,Maiden flight of Ariane 5G; Ariane 5 Flight 501 Programming error led to rocket going off course,Maiden flight of Ariane 5G; Ariane 5 Flight 501 Programming error led to rocket going off course,Maiden flight of Ariane 5G; Ariane 5 Flight 501 Programming error led to rocket going off course,Maiden flight of Ariane 5G; Ariane 5 Flight 501 Programming error led to rocket going off course,1996,First flight,
15 June 06:55,Ariane 4 (44P),Intelsat 709,Intelsat,GEO,Communications,In orbit,Operational,1996,,
20 June 14:49,Space Shuttle Columbia,STS-78,NASA,LEO,Microgravity research,7 July 12:36,Successful,1996,,
20 June 14:49,Space Shuttle Columbia,Spacelab Long Module 2,NASA,LEO (Columbia),Spacelab LMS-1,7 July 12:36,Successful,1996,,
20 June 14:49,Space Shuttle Columbia,EDO Pallet,NASA,LEO (Columbia),Cryogenic mission extension pallet,7 July 12:36,Successful,1996,,
20 June 14:49,Space Shuttle Columbia,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,1996,,
20 June 18:45,Soyuz-U,Yantar-4K1,VKS,Intended: LEO,Reconnaissance,+50 seconds,Launch Failure,1996,,
20 June 18:45,Soyuz-U,Payload fairing disintegrated,Payload fairing disintegrated,Payload fairing disintegrated,Payload fairing disintegrated,Payload fairing disintegrated,Payload fairing disintegrated,1996,,
2 July 07:48,Pegasus-XL,TOMS-EP,NASA,LEO,Ozone mapping,In orbit,Operational,1996,,
3 July 00:31,Titan IVA (405),USA-125 (SDS 2–4),US Air Force,High Earth (elliptical),Communications,In orbit,Operational,1996,,
3 July 10:47,Long March 3,Apstar 1A,APT,GEO,Communications,In orbit,Operational,1996,,
9 July 22:24,Ariane 4 (44L),Arabsat 2A,Arabsat,GEO,Communications,In orbit,Operational,1996,,
9 July 22:24,Ariane 4 (44L),Turksat 1C,Türksat,GEO,Communications,In orbit,Operational,1996,,
16 July 00:50,Delta II 7925-9.5,USA-126 (GPS IIA-17),US Air Force,MEO,Navigation,In orbit,Operational,1996,,
25 July 12:42,Atlas II,USA-127 (UHF F/O F7),US Air Force,GEO,Communications,In orbit,Operational,1996,,
31 July 20:00,Soyuz-U,Progress M-32,Roskosmos,LEO (Mir),Logistics,20 November 22:42,Successful,1996,,
8 August 22:49,Ariane 4 (44L),Italsat F2,ASI,GEO,Communications,In orbit,Operational,1996,,
8 August 22:49,Ariane 4 (44L),Telecom 2D,France Télécom,GEO,Communications,In orbit,Operational,1996,,
14 August 22:20,Molniya-M,Molniya 1-89,MOM,Molniya,Communications,7 April 2012,Successful,1996,,
17 August 01:58,H-II,ADEOS (Midori),NASDA,LEO,Atmospheric research,In orbit,Operational,1996,,
17 August 01:58,H-II,JAS-2 (Fuji-2),JARL,LEO,Communications,In orbit,Operational,1996,,
17 August 13:18,Soyuz-U,Soyuz TM-24,Roskosmos,LEO (Mir),Mir EO-22,2 March 1997 06:44,Successful,1996,,
17 August 13:18,Soyuz-U,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,1996,,
18 August 10:27,Long March 3,Chinasat 7,Chinasat,Intended: GEO Actual: High Earth (elliptical),Communications,In orbit,Launch Failure,1996,,
18 August 10:27,Long March 3,Third stage failure left satellite in useless orbit,Third stage failure left satellite in useless orbit,Third stage failure left satellite in useless orbit,Third stage failure left satellite in useless orbit,Third stage failure left satellite in useless orbit,Third stage failure left satellite in useless orbit,1996,,
21 August 09:47,Pegasus-XL,FAST,NASA,LEO,Magnetosphere research,In orbit,Operational,1996,,
29 August 05:22,Molniya-M,MUSAT,CONAE,Molniya,Magnetosphere research,12 November 1999,Successful,1996,,
29 August 05:22,Molniya-M,Interbol 2,Roskosmos,Molniya,Auroral research,In orbit,Operational,1996,,
29 August 05:22,Molniya-M,Magion 5,,Molniya,Auroral research,In orbit,Successful,1996,,
4 September 09:01,Zenit-2,Kosmos 2333 (Tselina-2),MO RF,LEO,ELINT,In orbit,Operational,1996,,
5 September 12:47,Kosmos-3M,Kosmos 2334 (Parus),MO RF,LEO,Navigation,In orbit,Operational,1996,,
5 September 12:47,Kosmos-3M,Oscar 30,UNAMSAT,LEO,Communications,In orbit,Operational,1996,,
6 September 17:37,Proton-K/DM-2,Inmarsat 3F2,Inmarsat,GEO,Communications,In orbit,Operational,1996,,
8 September 21:49,Atlas IIA,GE 1,GE Americom,GEO,Communications,In orbit,Operational,1996,,
11 September 00:00,Ariane 4 (42P),Echostar II,EchoStar,GEO,Communications,In orbit,Successful,1996,,
11 September 00:00,Ariane 4 (42P),Retired after malfunction on 14 July 2008[1],Retired after malfunction on 14 July 2008[1],Retired after malfunction on 14 July 2008[1],Retired after malfunction on 14 July 2008[1],Retired after malfunction on 14 July 2008[1],Retired after malfunction on 14 July 2008[1],1996,,
12 September 08:49,Delta II 7925-9.5,USA-128 (GPS IIA-18),US Air Force,MEO,Navigation,In orbit,Operational,1996,,
16 September 08:54,Space Shuttle Atlantis,STS-79,NASA,LEO,Shuttle-Mir flight,26 September 12:13,Successful,1996,,
16 September 08:54,Space Shuttle Atlantis,SpaceHab LDM,NASA/SpaceHab,LEO (Atlantis),Logistics,26 September 12:13,Successful,1996,,
16 September 08:54,Space Shuttle Atlantis,Crewed orbital flight with six astronauts,Crewed orbital flight with six astronauts,Crewed orbital flight with six astronauts,Crewed orbital flight with six astronauts,Crewed orbital flight with six astronauts,Crewed orbital flight with six astronauts,1996,,
26 September 17:50,Proton-K/DM-2M,Ekspress-6,RSCSC,GEO,Communications,In orbit,Operational,1996,,
20 October 07:20,Long March 2D,FSW-2-3,CASC,LEO,Reconnaissance,4 November,Successful,1996,,
24 October 11:37,Molniya-M,Molniya 3–48,MOM,Molniya,Communications,18 October 2007 03:51,Successful,1996,,
4 November 17:08,Pegasus-XL,HETE,NASA,LEO,Astronomy,7 April 2002,Launch Failure,1996,,
4 November 17:08,Pegasus-XL,SAC-B,CONAE,LEO,Technology development,7 April 2002,Launch Failure,1996,,
4 November 17:08,Pegasus-XL,Both payloads failed to separate from the launch vehicle and each other,Both payloads failed to separate from the launch vehicle and each other,Both payloads failed to separate from the launch vehicle and each other,Both payloads failed to separate from the launch vehicle and each other,Both payloads failed to separate from the launch vehicle and each other,Both payloads failed to separate from the launch vehicle and each other,1996,,
7 November 17:00,Delta II 7925,Mars Global Surveyor,NASA,Areocentric,Mars orbiter,In orbit,Successful,1996,,
7 November 17:00,Delta II 7925,Contact lost on 2 November 2006 and mission declared complete on 10 January 2007 after numerous troubleshooting attempts to regain contact.,Contact lost on 2 November 2006 and mission declared complete on 10 January 2007 after numerous troubleshooting attempts to regain contact.,Contact lost on 2 November 2006 and mission declared complete on 10 January 2007 after numerous troubleshooting attempts to regain contact.,Contact lost on 2 November 2006 and mission declared complete on 10 January 2007 after numerous troubleshooting attempts to regain contact.,Contact lost on 2 November 2006 and mission declared complete on 10 January 2007 after numerous troubleshooting attempts to regain contact.,Contact lost on 2 November 2006 and mission declared complete on 10 January 2007 after numerous troubleshooting attempts to regain contact.,1996,,
13 November 22:40,Ariane 4 (44L),Arabsat 2B,Arabsat,GEO,Communications,In orbit,Operational,1996,,
13 November 22:40,Ariane 4 (44L),Measat-2,Binariang,GEO,Communications,In orbit,Operational,1996,,
16 November 20:48,Proton-K/D-2,Mars 96 (Mars-8),VKS,Intended: Areocentric Actual: LEO,Mars orbiter,17 November,Failure,1996,,
16 November 20:48,Proton-K/D-2,Upper stage failed to re-ignite for Earth orbit departure; re-entered the following day,Upper stage failed to re-ignite for Earth orbit departure; re-entered the following day,Upper stage failed to re-ignite for Earth orbit departure; re-entered the following day,Upper stage failed to re-ignite for Earth orbit departure; re-entered the following day,Upper stage failed to re-ignite for Earth orbit departure; re-entered the following day,Upper stage failed to re-ignite for Earth orbit departure; re-entered the following day,1996,,
19 November 19:55,Space Shuttle Columbia,STS-80,NASA,LEO,Microgravity research,7 December 11:49,Successful,1996,,
19 November 19:55,Space Shuttle Columbia,ORFEUS-SPAS,NASA,LEO,Ultraviolet astronomy,7 December 11:49,Successful,1996,,
19 November 19:55,Space Shuttle Columbia,Wake Shield Facility,NASA,LEO,Materials research,7 December 11:49,Successful,1996,,
19 November 19:55,Space Shuttle Columbia,EDO Pallet,NASA,LEO (Columbia),Cryogenic mission extension pallet,7 December 11:49,Successful,1996,,
19 November 19:55,Space Shuttle Columbia,Crewed orbital flight with five astronauts; All EVAs cancelled due to airlock malfunction; Longest-duration Space Shuttle flight in history[2] Story Musgrave becomes the only American astronaut to fly on all five Space Shuttle orbiters[3] ORFEUS-SPAS deployed on 20 November and retrieved on 4 December; WSF deployed on 22 November and retrieved on 26 November,Crewed orbital flight with five astronauts; All EVAs cancelled due to airlock malfunction; Longest-duration Space Shuttle flight in history[2] Story Musgrave becomes the only American astronaut to fly on all five Space Shuttle orbiters[3] ORFEUS-SPAS deployed on 20 November and retrieved on 4 December; WSF deployed on 22 November and retrieved on 26 November,Crewed orbital flight with five astronauts; All EVAs cancelled due to airlock malfunction; Longest-duration Space Shuttle flight in history[2] Story Musgrave becomes the only American astronaut to fly on all five Space Shuttle orbiters[3] ORFEUS-SPAS deployed on 20 November and retrieved on 4 December; WSF deployed on 22 November and retrieved on 26 November,Crewed orbital flight with five astronauts; All EVAs cancelled due to airlock malfunction; Longest-duration Space Shuttle flight in history[2] Story Musgrave becomes the only American astronaut to fly on all five Space Shuttle orbiters[3] ORFEUS-SPAS deployed on 20 November and retrieved on 4 December; WSF deployed on 22 November and retrieved on 26 November,Crewed orbital flight with five astronauts; All EVAs cancelled due to airlock malfunction; Longest-duration Space Shuttle flight in history[2] Story Musgrave becomes the only American astronaut to fly on all five Space Shuttle orbiters[3] ORFEUS-SPAS deployed on 20 November and retrieved on 4 December; WSF deployed on 22 November and retrieved on 26 November,Crewed orbital flight with five astronauts; All EVAs cancelled due to airlock malfunction; Longest-duration Space Shuttle flight in history[2] Story Musgrave becomes the only American astronaut to fly on all five Space Shuttle orbiters[3] ORFEUS-SPAS deployed on 20 November and retrieved on 4 December; WSF deployed on 22 November and retrieved on 26 November,1996,,
19 November 23:20,Soyuz-U,Progress M-33,Roskosmos,LEO (Mir),Logistics,12 March 1997 03:23,Partial Failure,1996,,
19 November 23:20,Soyuz-U,Failed to redock after free-flight in February–March 1997,Failed to redock after free-flight in February–March 1997,Failed to redock after free-flight in February–March 1997,Failed to redock after free-flight in February–March 1997,Failed to redock after free-flight in February–March 1997,Failed to redock after free-flight in February–March 1997,1996,,
21 November 20:47,Atlas IIA,Hot Bird 2,Eutelsat,GEO,Communications,In orbit,Operational,1996,,
4 December 06:58,Delta II 7925,Mars Pathfinder,NASA,Heliocentric,Mars lander,4 July 1997 16:57,Successful,1996,,
4 December 06:58,Delta II 7925,Sojourner,NASA,Heliocentric,Mars rover,4 July 1997 16:57,Successful,1996,,
4 December 06:58,Delta II 7925,First Mars rover; landing site: Ares Vallis Final contact with Sojourner received on 27 September 1997 and the mission was terminated on 10 March 1998,First Mars rover; landing site: Ares Vallis Final contact with Sojourner received on 27 September 1997 and the mission was terminated on 10 March 1998,First Mars rover; landing site: Ares Vallis Final contact with Sojourner received on 27 September 1997 and the mission was terminated on 10 March 1998,First Mars rover; landing site: Ares Vallis Final contact with Sojourner received on 27 September 1997 and the mission was terminated on 10 March 1998,First Mars rover; landing site: Ares Vallis Final contact with Sojourner received on 27 September 1997 and the mission was terminated on 10 March 1998,First Mars rover; landing site: Ares Vallis Final contact with Sojourner received on 27 September 1997 and the mission was terminated on 10 March 1998,1996,,
11 December 12:00,Tsyklon-2,Kosmos 2335 (EORSAT),MO RF,LEO,Reconnaissance,1 January 1999,Successful,1996,,
18 December 01:57,Atlas IIA,Inmarsat 3F3,Inmarsat,GEO,Communications,In orbit,Operational,1996,,
20 December 06:43,Kosmos-3M,Kosmos 2336 (Parus),MO RF,LEO,Navigation,In orbit,Operational,1996,,
20 December 18:04,Titan IVA (404),USA-129 (KH-12),NRO,LEO,Reconnaissance,In orbit,Operational,1996,,
20 December 18:04,Titan IVA (404),NRO Launch 2,NRO Launch 2,NRO Launch 2,NRO Launch 2,NRO Launch 2,NRO Launch 2,1996,,
24 December 13:50,Soyuz-U,Bion 11,Roskosmos,LEO,Biological research,7 January 1997,Successful,1996,,
12 January 09:27,Space Shuttle Atlantis,STS-81,NASA,LEO (Mir),Shuttle-Mir flight,22 January 14:23,Successful,1997,,
12 January 09:27,Space Shuttle Atlantis,SpaceHab LDM,NASA/SpaceHab,LEO (Atlantis),Logistics,22 January 14:23,Successful,1997,,
12 January 09:27,Space Shuttle Atlantis,Crewed orbital flight with six astronauts,Crewed orbital flight with six astronauts,Crewed orbital flight with six astronauts,Crewed orbital flight with six astronauts,Crewed orbital flight with six astronauts,Crewed orbital flight with six astronauts,1997,,
17 January 16:28,Delta II 7925-9.5,GPS IIR-1,US Air Force,Intended: MEO,Navigation,+12 seconds,Launch Failure,1997,,
17 January 16:28,Delta II 7925-9.5,SRB structural failure caused rocket to explode;,SRB structural failure caused rocket to explode; First flight of GPS Block IIR satellite,SRB structural failure caused rocket to explode; First flight of GPS Block IIR satellite,SRB structural failure caused rocket to explode; First flight of GPS Block IIR satellite,SRB structural failure caused rocket to explode; First flight of GPS Block IIR satellite,SRB structural failure caused rocket to explode; First flight of GPS Block IIR satellite,1997,First flight,
30 January 22:04,Ariane 4 (44L),GE 2,GE Americom,GEO,Communications,In orbit,Operational,1997,,
30 January 22:04,Ariane 4 (44L),Nahuel 1A,Nahuelsa,GEO,Communications,In orbit,Operational,1997,,
10 February 14:09,Soyuz-U,Soyuz TM-25,Roskosmos,LEO (Mir),Mir EO-23,14 August 12:17,Successful,1997,,
10 February 14:09,Soyuz-U,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,1997,,
11 February 08:55,Space Shuttle Discovery,STS-82,NASA,LEO (HST),Hubble Servicing Mission 2,21 February 08:32,Successful,1997,,
11 February 08:55,Space Shuttle Discovery,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,1997,,
12 February 04:50,M-V,HALCA (MUSES-B),ISAS,MEO,Astronomy,In orbit,Successful,1997,,
12 February 04:50,M-V,,Maiden flight of M-V; Mission concluded in November 2005,Maiden flight of M-V; Mission concluded in November 2005,Maiden flight of M-V; Mission concluded in November 2005,Maiden flight of M-V; Mission concluded in November 2005,Maiden flight of M-V; Mission concluded in November 2005,1997,First flight,
14 February 03:47,Tsyklon-3,Gonets-D1,Gonets SatCom,LEO,Communications,In orbit,Operational,1997,,
14 February 03:47,Tsyklon-3,Gonets-D1,Gonets SatCom,LEO,Communications,In orbit,Operational,1997,,
14 February 03:47,Tsyklon-3,Gonets-D1,Gonets SatCom,LEO,Communications,In orbit,Operational,1997,,
14 February 03:47,Tsyklon-3,Kosmos 2337 (Strela-3),MO RF,LEO,Communications,In orbit,Operational,1997,,
14 February 03:47,Tsyklon-3,Kosmos 2338 (Strela-3),MO RF,LEO,Communications,In orbit,Operational,1997,,
14 February 03:47,Tsyklon-3,Kosmos 2339 (Strela-3),MO RF,LEO,Communications,In orbit,Operational,1997,,
17 February 01:42,Atlas IIAS,JCSAT-4,JSAT,GEO,Communications,In orbit,Operational,1997,,
23 February 20:20,Titan IVB (402)/IUS,USA-130 (DSP F18),US Air Force,GEO,Early warning,In orbit,Operational,1997,,
23 February 20:20,Titan IVB (402)/IUS,,Maiden flight of Titan IVB,Maiden flight of Titan IVB,Maiden flight of Titan IVB,Maiden flight of Titan IVB,Maiden flight of Titan IVB,1997,First flight,
1 March 01:07,Ariane 4 (44P),Intelsat 801,Intelsat,GEO,Communications,In orbit,Operational,1997,,
4 March 02:00,Start-1,Zeya,MO RF,LEO,Communications,25 October 1999,Successful,1997,,
8 March 06:01,Atlas IIA,Tempo 2,TCI,Current: Graveyard Operational: GEO,Communications,In orbit,Successful,1997,,
8 March 06:01,Atlas IIA,Suffered damage from a solar flare in April 1997 and was retired on 15 August 2006.,Suffered damage from a solar flare in April 1997 and was retired on 15 August 2006.,Suffered damage from a solar flare in April 1997 and was retired on 15 August 2006.,Suffered damage from a solar flare in April 1997 and was retired on 15 August 2006.,Suffered damage from a solar flare in April 1997 and was retired on 15 August 2006.,Suffered damage from a solar flare in April 1997 and was retired on 15 August 2006.,1997,,
4 April 16:47,Titan 23G,USA-131 (DMSP 5D2 F14),US Air Force/NOAA,Sun-synchronous,Meteorology,In orbit,Successful,1997,,
4 April 19:20,Space Shuttle Columbia,STS-83,NASA,LEO,Microgravity research,8 April 18:33,Partial Failure,1997,,
4 April 19:20,Space Shuttle Columbia,Spacelab Long Module 1,NASA,LEO (Columbia),Spacelab MSL-1,8 April 18:33,Partial Failure,1997,,
4 April 19:20,Space Shuttle Columbia,EDO Pallet,NASA,LEO (Columbia),Cryogenic mission extension pallet,8 April 18:33,Partial Failure,1997,,
4 April 19:20,Space Shuttle Columbia,Crewed orbital flight with seven astronauts Fuel cell failure caused the flight to be aborted. Re-flown as STS-94 later the same year.,Crewed orbital flight with seven astronauts Fuel cell failure caused the flight to be aborted. Re-flown as STS-94 later the same year.,Crewed orbital flight with seven astronauts Fuel cell failure caused the flight to be aborted. Re-flown as STS-94 later the same year.,Crewed orbital flight with seven astronauts Fuel cell failure caused the flight to be aborted. Re-flown as STS-94 later the same year.,Crewed orbital flight with seven astronauts Fuel cell failure caused the flight to be aborted. Re-flown as STS-94 later the same year.,Crewed orbital flight with seven astronauts Fuel cell failure caused the flight to be aborted. Re-flown as STS-94 later the same year.,1997,,
6 April 16:04,Soyuz-U,Progress M-34,Roskosmos,LEO (Mir),Logistics,2 July 06:31,Spacecraft failure,1997,,
6 April 16:04,Soyuz-U,"Collided with Mir during rendezvous tests on 25 June, heavily damaging the station and permanently depressurizing the Spektr module.","Collided with Mir during rendezvous tests on 25 June, heavily damaging the station and permanently depressurizing the Spektr module.","Collided with Mir during rendezvous tests on 25 June, heavily damaging the station and permanently depressurizing the Spektr module.","Collided with Mir during rendezvous tests on 25 June, heavily damaging the station and permanently depressurizing the Spektr module.","Collided with Mir during rendezvous tests on 25 June, heavily damaging the station and permanently depressurizing the Spektr module.","Collided with Mir during rendezvous tests on 25 June, heavily damaging the station and permanently depressurizing the Spektr module.",1997,,
9 April 08:58,Molniya-M,Kosmos 2340 (Oko),MO RF,Molniya,Early warning,In orbit,Operational,1997,,
16 April 23:08,Ariane 4 (44LP),Thaicom 3,Thaicom,GEO,Communications,2 October 2006,Successful,1997,,
16 April 23:08,Ariane 4 (44LP),BSAT-1A,BSAT,GEO,Communications,In orbit,Operational,1997,,
16 April 23:08,Ariane 4 (44LP),Thaicom 3 deorbited after suffering severe power degradation.[2],Thaicom 3 deorbited after suffering severe power degradation.[2],Thaicom 3 deorbited after suffering severe power degradation.[2],Thaicom 3 deorbited after suffering severe power degradation.[2],Thaicom 3 deorbited after suffering severe power degradation.[2],Thaicom 3 deorbited after suffering severe power degradation.[2],1997,,
17 April 13:03,Kosmos-3M,Kosmos 2341 (Parus),MO RF,LEO,Navigation,In orbit,Operational,1997,,
21 April 11:59,Pegasus-XL,Minisat-01,INTA,LEO,Technology development,26 February 2002,Successful,1997,,
21 April 11:59,Pegasus-XL,Celestis Founders,Celestis,LEO,Space burial,20 May 2002,Successful,1997,,
25 April 05:49,Atlas I,GOES 10 (GOES-K),NOAA,GEO Graveyard (after retirement),Meteorology,In orbit,Successful,1997,,
25 April 05:49,Atlas I,,"Final flight of Atlas I, satellite retired and boosted to graveyard orbit on 1 December 2009.[3]","Final flight of Atlas I, satellite retired and boosted to graveyard orbit on 1 December 2009.[3]","Final flight of Atlas I, satellite retired and boosted to graveyard orbit on 1 December 2009.[3]","Final flight of Atlas I, satellite retired and boosted to graveyard orbit on 1 December 2009.[3]","Final flight of Atlas I, satellite retired and boosted to graveyard orbit on 1 December 2009.[3]",1997,Final flight,
5 May 14:55,Delta II (7920-10C),Iridium 8,Iridium,LEO,Communications,24 November 2017[4],Successful,1997,,
5 May 14:55,Delta II (7920-10C),Iridium 7,Iridium,LEO,Communications,In orbit,Operational,1997,,
5 May 14:55,Delta II (7920-10C),Iridium 6,Iridium,LEO,Communications,23 December 2017[5],Successful,1997,,
5 May 14:55,Delta II (7920-10C),Iridium 5,Iridium,LEO,Communications,In orbit,Operational,1997,,
5 May 14:55,Delta II (7920-10C),Iridium 4,Iridium,LEO,Communications,In orbit,Operational,1997,,
11 May 16:17,Long March 3A,Zhongxing-6 (Chinasat-6),Chinasat,GEO,Communications,In orbit,Operational,1997,,
14 May 00:33,Molniya-M,Kosmos 2342 (Oko),MO RF,Molniya,Early warning,In orbit,Operational,1997,,
15 May 08:07,Space Shuttle Atlantis,STS-84,NASA,LEO (Mir),Shuttle-Mir flight,24 May 13:27,Successful,1997,,
15 May 08:07,Space Shuttle Atlantis,SpaceHab LDM,NASA/SpaceHab,LEO (Atlantis),Logistics,24 May 13:27,Successful,1997,,
15 May 08:07,Space Shuttle Atlantis,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,1997,,
15 May 12:10,Soyuz-U,Kosmos 2343,MO RF,LEO,Reconnaissance,18 September,Successful,1997,,
20 May 07:07,Zenit-2,Tselina-2,VKS,Intended: LEO,ELINT,+ 48 seconds,Launch Failure,1997,,
20 May 07:07,Zenit-2,Stage 1 engine failure,Stage 1 engine failure,Stage 1 engine failure,Stage 1 engine failure,Stage 1 engine failure,Stage 1 engine failure,1997,,
20 May 22:39,Delta II 7925-9.5,Thor-2,Telenor,GEO,Communications,In orbit,Operational,1997,,
24 May 17:00,Proton-K/DM-2M,Telstar 5,Loral Skynet,GEO,Communications,In orbit,Operational,1997,,
3 June 23:20,Ariane 4 (44L),Inmarsat 3F4,Inmarsat,GEO,Communications,In orbit,Operational,1997,,
3 June 23:20,Ariane 4 (44L),INSAT 2D,ISRO,GEO,Communications,In orbit,Spacecraft Failure,1997,,
3 June 23:20,Ariane 4 (44L),Insat 2D declared a total loss on 4 October 1997.,Insat 2D declared a total loss on 4 October 1997.,Insat 2D declared a total loss on 4 October 1997.,Insat 2D declared a total loss on 4 October 1997.,Insat 2D declared a total loss on 4 October 1997.,Insat 2D declared a total loss on 4 October 1997.,1997,,
6 June 16:56,Proton-K/DM-5,Kosmos 2344 (Araks-N),MO RF,MEO,Reconnaissance,In orbit,Operational,1997,,
10 June 12:01,Long March 3,Feng Yun 2A,CASC,GEO,Meteorology,In orbit,Spacecraft Failure,1997,,
10 June 12:01,Long March 3,"Halted transmitting data in April 1998, resumed transmission but imaging system failed later that year in September.","Halted transmitting data in April 1998, resumed transmission but imaging system failed later that year in September.","Halted transmitting data in April 1998, resumed transmission but imaging system failed later that year in September.","Halted transmitting data in April 1998, resumed transmission but imaging system failed later that year in September.","Halted transmitting data in April 1998, resumed transmission but imaging system failed later that year in September.","Halted transmitting data in April 1998, resumed transmission but imaging system failed later that year in September.",1997,,
18 June 14:02,Proton-K/DM2,Iridium 14,Iridium,LEO,Communications,In orbit,Spacecraft Failure,1997,,
18 June 14:02,Proton-K/DM2,Iridium 12,Iridium,LEO,Communications,2 September 2018[6],Successful,1997,,
18 June 14:02,Proton-K/DM2,Iridium 9,Iridium,LEO,Communications,11 March 2003,Spacecraft Failure,1997,,
18 June 14:02,Proton-K/DM2,Iridium 10,Iridium,LEO,Communications,6 October 2018[7],Successful,1997,,
18 June 14:02,Proton-K/DM2,Iridium 13,Iridium,LEO,Communications,29 April 2018[8],Successful,1997,,
